Run Num,Sample Bag,      Date/Time,     Timestamp,HR Delta iCH4 Mean,HR Delta iCH4 Std,HP Delta iCH4 Mean,HP Delta iCH4 Std, Delta 13CO2 Mean, Delta 13CO2 Std,    HR 12CH4 Mean,    HR 12CH4 Std,    HR 13CH4 Mean,    HR 13CH4 Std,    HP 12CH4 Mean,    HP 12CH4 Std,    HP 13CH4 Mean,    HP 13CH4 Std,       12CO2 Mean,       12CO2 Std,       13CO2 Mean,       13CO2 Std,         H2O Mean,         H2O Std,  ChemDetect Mean,Valve Position,  Standard Delta iCH4,  Standard Delta iCO2,       Standard 13CH4,       Standard 13CO2
      1,         1,07/08/22 18:04:32,1657303377.07754,          -35.016,            0.280,      9999999.000,            0.000,           -7.455,          20.336,           48.255,           0.046,            0.530,           0.001,           -0.003,           0.000,      9999999.000,           0.000,           25.215,           0.093,            0.285,           0.006,            0.742,           0.004,            0.000,              ,                     ,                     ,                     ,                     
      2,         1,07/08/22 18:15:30,1657304033.51713,           43.555,            3.558,      9999999.000,            0.000,          -21.749,           0.364,            2.979,           0.008,            0.036,           0.000,           -0.003,           0.000,      9999999.000,           0.000,         2689.223,           1.238,           30.918,           0.016,            2.428,           0.002,            0.000,              ,                     ,                     ,                     ,                     
      3,         1,07/08/22 18:26:22,1657304686.06459,          -15.395,            0.214,      9999999.000,            0.000,           10.688,           7.905,          802.459,           0.715,            9.234,           0.008,           -0.003,           0.000,      9999999.000,           0.000,           61.292,           0.160,            0.726,           0.005,            2.290,           0.012,            1.000,              ,                     ,                     ,                     ,                     
      4,         1,07/08/22 18:36:08,1657305272.31082,           80.320,            0.241,      9999999.000,            0.000,          -18.149,          18.874,          805.350,           0.695,            9.976,           0.008,           -0.003,           0.000,      9999999.000,           0.000,           23.704,           0.121,            0.268,           0.005,            1.233,           0.011,            1.000,              ,                     ,                     ,                     ,                     
      5,         1,07/08/22 18:46:12,1657305876.34079,          200.193,            0.312,      9999999.000,            0.000,          -43.481,          21.017,          796.651,           0.716,           10.939,           0.009,           -0.003,           0.000,      9999999.000,           0.000,           21.840,           0.106,            0.240,           0.005,            1.105,           0.009,            1.000,              ,                     ,                     ,                     ,                     
      6,         1,07/08/22 18:56:20,1657306484.17289,          308.032,            0.253,      9999999.000,            0.000,          -56.472,          18.096,          785.711,           0.658,           11.751,           0.010,           -0.003,           0.000,      9999999.000,           0.000,           21.513,           0.088,            0.233,           0.004,            1.066,           0.009,            1.000,              ,                     ,                     ,                     ,                     
      7,         1,07/08/22 19:07:24,1657307148.31655,          -30.265,            0.302,      9999999.000,            0.000,          -14.888,          13.085,           78.240,           0.073,            0.865,           0.001,           -0.003,           0.000,      9999999.000,           0.000,           31.754,           0.087,            0.357,           0.005,            0.895,           0.002,            0.000,              ,                     ,                     ,                     ,                     
      8,         1,07/08/22 19:19:34,1657307878.00491,          261.364,            1.833,      9999999.000,            0.000,          -11.226,           1.905,            6.637,           0.014,            0.097,           0.000,           -0.003,           0.000,      9999999.000,           0.000,          254.477,           0.169,            2.909,           0.006,            1.566,           0.001,            0.000,              ,                     ,                     ,                     ,                     
      9,         1,07/08/22 19:29:22,1657308465.79492,          262.539,            1.878,      9999999.000,            0.000,          -13.807,           1.353,            6.282,           0.014,            0.091,           0.000,           -0.003,           0.000,      9999999.000,           0.000,          341.221,           0.268,            3.883,           0.006,            1.478,           0.001,            0.000,              ,                     ,                     ,                     ,                     
     10,         1,07/08/22 19:47:46,1657309570.66987,          262.436,            2.676,      9999999.000,            0.000,          -19.228,           0.942,            5.695,           0.011,            0.083,           0.000,           -0.003,           0.000,      9999999.000,           0.000,          484.149,           0.309,            5.476,           0.006,            1.442,           0.001,            0.000,              ,                     ,                     ,                     ,                     
     11,         1,07/08/22 19:57:56,1657310179.78386,          258.406,            2.298,      9999999.000,            0.000,          -19.891,           0.831,            5.037,           0.011,            0.073,           0.000,           -0.003,           0.000,      9999999.000,           0.000,          553.510,           0.404,            6.262,           0.006,            1.489,           0.001,            0.000,              ,                     ,                     ,                     ,                     
     12,         1,07/08/22 20:55:20,1657313624.24659,          264.731,            2.547,      9999999.000,            0.000,          -23.399,           0.423,            5.019,           0.010,            0.073,           0.000,           -0.003,           0.000,      9999999.000,           0.000,          979.018,           0.671,           11.031,           0.008,            1.467,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     13,         1,07/08/22 21:05:17,1657314221.54953,          252.472,            3.127,      9999999.000,            0.000,          -23.949,           0.474,            3.893,           0.009,            0.056,           0.000,           -0.003,           0.000,      9999999.000,           0.000,         1024.079,           0.666,           11.535,           0.008,            1.478,           0.002,            0.000,              ,                     ,                     ,                     ,                     
