Collar,Reps,date,Origin,Location,Experiment,timestamp,FCH4,FCO2,SWC,TA,TS
17,1,5/11/2022,midstream,g_low,Salinity transplant,5/11/2022 10:49,0.41867,1.014275,0.00905,17.30917,14.353335
18,1,5/11/2022,midstream,g_low,Salinity transplant,5/11/2022 11:07,1.670825,1.651435,0,18.9627,14.608335
19,1,5/11/2022,midstream,g_low,Salinity transplant,5/11/2022 10:24,0.011005,0.81179,0.037275,17.28646,15.27
2,3,5/11/2022,g_low,g_low,Salinity transplant,5/11/2022 10:13,-0.0555,1.30473,0.04306,16.901955,15.8
20,1,5/11/2022,midstream,g_low,Salinity transplant,5/11/2022 11:03,-0.11308,2.774785,0.001785,18.09756,14.25333
29,1,5/11/2022,upstream,g_low,Salinity transplant,5/11/2022 10:35,3.358115,0.58559,0.037335,16.69685,14.7
3,1,5/11/2022,g_low,g_low,Salinity transplant,5/11/2022 11:21,-0.07009,1.69994,0,19.83871,16.7225
30,2,5/11/2022,upstream,g_low,Salinity transplant,5/11/2022 10:42,-0.04205,1.77191,0.01037,18.433185,14.356665
31,1,5/11/2022,upstream,g_low,Salinity transplant,5/11/2022 11:25,-0.230035,1.710705,0,20.36313,16.945
32,1,5/11/2022,upstream,g_low,Salinity transplant,5/11/2022 11:00,0.72342,2.741945,0.004265,17.3602,14.27
4,1,5/11/2022,g_low,g_low,Salinity transplant,5/11/2022 10:27,0.11102,1.4546,0.027765,17.52303,15.2
41,1,5/11/2022,g_low,g_up,Elevation transplant,5/11/2022 12:27,-0.417885,3.79785,0.012565,20.587955,17.056665
42,1,5/11/2022,g_low,g_up,Elevation transplant,5/11/2022 11:58,-0.8521,5.017825,0.01,18.91718,16
43,1,5/11/2022,g_low,g_up,Elevation transplant,5/11/2022 12:08,-0.59628,2.66684,0.009785,19.53524,16.260835
44,1,5/11/2022,g_low,g_up,Elevation transplant,5/11/2022 11:43,-1.00611,6.53057,0.0055,18.701,16.3
49,1,5/11/2022,g_mid,g_low,Elevation transplant,5/11/2022 11:14,42.061665,1.05786,0,18.12717,15.283335
50,1,5/11/2022,g_mid,g_low,Elevation transplant,5/11/2022 10:38,1.444265,0.566895,0.0308,16.49855,14.365
51,1,5/11/2022,g_mid,g_low,Elevation transplant,5/11/2022 11:32,0.27477,2.993385,0.0109,18.21961,16.70583
