Collar,Reps,date,Origin,Location,Experiment,timestamp,FCH4,FCO2,SWC,TA,TS
52,1,5/11/2022,g_mid,g_low,Elevation transplant,5/11/2022 10:31,2.87155,0.730515,0.03361,16.716785,14.968335
53,1,5/11/2022,g_mid,g_up,Elevation transplant,5/11/2022 11:55,-0.328825,3.051875,0.00975,18.854755,15.8
54,1,5/11/2022,g_mid,g_up,Elevation transplant,5/11/2022 11:51,-0.913545,4.281715,0.011265,18.733485,16.1
55,1,5/11/2022,g_mid,g_up,Elevation transplant,5/11/2022 12:05,-0.24407,1.46299,0.0119,19.00929,16.2
56,1,5/11/2022,g_mid,g_up,Elevation transplant,5/11/2022 11:47,-0.56161,3.56907,0.021,18.462315,16.271665
57,1,5/11/2022,g_up,g_up,Elevation transplant,5/11/2022 11:37,-0.328155,3.03751,0.024615,18.6098,16.3
58,1,5/11/2022,g_up,g_up,Elevation transplant,5/11/2022 12:11,-0.074675,1.278105,0.006365,20.94412,16.661665
59,1,5/11/2022,g_up,g_up,Elevation transplant,5/11/2022 11:55,-0.197765,1.77341,0.00756,19.9335125,17.0091675
60,1,5/11/2022,g_up,g_up,Elevation transplant,5/11/2022 12:18,-0.370355,2.06931,0.00822,19.54619,17.2
62,1,5/11/2022,g_up,g_low,Elevation transplant,5/11/2022 10:57,1.762295,1.51026,0.004275,17.05908,14.3
63,1,5/11/2022,g_up,g_low,Elevation transplant,5/11/2022 10:53,1.134105,1.446965,0.004785,17.427455,14.3
64,1,5/11/2022,g_up,g_low,Elevation transplant,5/11/2022 10:16,0.057425,0.82856,0.024375,17.64383,15.765835
69,1,5/11/2022,g_low,g_low,Control,5/11/2022 11:10,17.997925,1.285475,0.00099,17.848875,14.795
70,1,5/11/2022,g_low,g_low,Control,5/11/2022 11:17,-0.18894,2.09839,0,19.93081,15.93667
71,1,5/11/2022,g_low,g_low,Control,5/11/2022 10:45,7.50418,1.66552,0.013565,17.059515,14.5
72,1,5/11/2022,g_low,g_low,Control,5/11/2022 10:20,0.214605,1.297915,0.0342,17.229895,15.588335
85,1,5/11/2022,g_up,g_up,Control,5/11/2022 12:15,-0.487485,2.594605,0.002565,20.19921,17.085
86,1,5/11/2022,g_up,g_up,Control,5/11/2022 12:24,-0.422355,3.160395,0.01626,19.839555,16.973335
87,1,5/11/2022,g_up,g_up,Control,5/11/2022 12:02,-0.19864,1.15211,0.00544,19.263965,16.1
88,1,5/11/2022,g_up,g_up,Control,5/11/2022 11:40,-0.36419,2.307875,0.017415,18.83007,16.3
37,2,5/13/2022,g_low,g_mid,Elevation transplant,5/13/2022 9:12,-0.713815,6.015805,0.206515,16.83064,17.286665
38,1,5/13/2022,g_low,g_mid,Elevation transplant,5/13/2022 9:28,-0.36401,4.38403,0.09357,16.67497,16.5
39,1,5/13/2022,g_low,g_mid,Elevation transplant,5/13/2022 9:35,-0.37761,4.31921,0.053285,16.620225,16.7
40,1,5/13/2022,g_low,g_mid,Elevation transplant,5/13/2022 9:51,-0.722225,7.33327,0.03156,16.862185,16.4175
45,1,5/13/2022,g_mid,g_mid,Elevation transplant,5/13/2022 9:48,-0.126815,4.327505,0.038355,16.87345,16.3
46,1,5/13/2022,g_mid,g_mid,Elevation transplant,5/13/2022 9:38,-0.294225,3.999475,0.050435,16.7761,16.615
48,1,5/13/2022,g_mid,g_mid,Elevation transplant,5/13/2022 9:22,-0.076125,2.763,0.088025,16.68492,16.65833
65,1,5/13/2022,g_up,g_mid,Elevation transplant,5/13/2022 9:45,-0.1022,3.084875,0.05971,16.879845,16.4
66,1,5/13/2022,g_up,g_mid,Elevation transplant,5/13/2022 8:56,-2.91251,4.904425,0.350515,17.26431,19.351665
66,2,5/13/2022,g_up,g_mid,Elevation transplant,5/13/2022 9:15,-0.21538,3.415045,0.25134,16.69786,16.918335
67,1,5/13/2022,g_up,g_mid,Elevation transplant,5/13/2022 9:42,-0.290635,3.52562,0.050785,16.80157,16.5
68,1,5/13/2022,g_up,g_mid,Elevation transplant,5/13/2022 9:57,-0.122815,2.30877,0.042525,16.92414,16.345
81,1,5/13/2022,g_mid,g_mid,Control,5/13/2022 9:31,-0.325505,3.561125,0.054385,16.59646,16.408335
82,1,5/13/2022,g_mid,g_mid,Control,5/13/2022 9:18,-0.96386,6.58497,0.188365,16.671055,16.725
83,1,5/13/2022,g_mid,g_mid,Control,5/13/2022 9:25,-0.45807,4.486025,0.07125,16.71526,16.61
84,1,5/13/2022,g_mid,g_mid,Control,5/13/2022 9:54,-0.851675,5.639095,0.043055,16.86983,16.5
17,1,5/20/2022,midstream,g_low,Salinity transplant,5/20/2022 13:03,0.899185,2.143385,0.40279,25.964505,22.275
18,1,5/20/2022,midstream,g_low,Salinity transplant,5/20/2022 13:18,1.45364,4.19228,0.3857,26.622905,23
19,1,5/20/2022,midstream,g_low,Salinity transplant,5/20/2022 12:39,0.2816,3.602055,0.297,25.55374,21.9
2,1,5/20/2022,g_low,g_low,Salinity transplant,5/20/2022 12:45,0.20827,3.15577,0.16301,25.1631,21.836665
20,1,5/20/2022,midstream,g_low,Salinity transplant,5/20/2022 12:51,-0.116455,4.85403,0.37424,25.74255,22.605
29,1,5/20/2022,upstream,g_low,Salinity transplant,5/20/2022 12:29,28.28762,1.530605,0.544,24.901885,22.1
3,1,5/20/2022,g_low,g_low,Salinity transplant,5/20/2022 13:16,0.17201,6.19753,0.3956,26.9942,23
30,1,5/20/2022,upstream,g_low,Salinity transplant,5/20/2022 12:48,-0.06784,1.913545,0.236785,25.47435,22.036665
31,1,5/20/2022,upstream,g_low,Salinity transplant,5/20/2022 13:21,-0.50712,5.36455,0.310665,26.753945,23
32,1,5/20/2022,upstream,g_low,Salinity transplant,5/20/2022 12:54,2.73906,8.14553,0.341345,25.490545,22.8
37,1,5/20/2022,g_low,g_mid,Elevation transplant,5/20/2022 10:45,-0.60785,5.745685,0.34646,24.26611,21.3
38,1,5/20/2022,g_low,g_mid,Elevation transplant,5/20/2022 10:33,-0.43521,5.794945,0.263495,23.497025,21.218335
39,1,5/20/2022,g_low,g_mid,Elevation transplant,5/20/2022 10:48,-0.41143,6.07801,0.32013,24.23,21.3
4,1,5/20/2022,g_low,g_low,Salinity transplant,5/20/2022 12:32,0.69342,5.260795,0.393,25.21251,22.1
40,1,5/20/2022,g_low,g_mid,Elevation transplant,5/20/2022 12:13,-0.67209,9.45688,0.32053,25.78595,21.31333
41,1,5/20/2022,g_low,g_up,Elevation transplant,5/20/2022 9:56,-0.66951,6.129185,0.338025,22.812115,20.9
42,1,5/20/2022,g_low,g_up,Elevation transplant,5/20/2022 9:59,-1.17256,7.429995,0.328265,22.95864,20.845
43,1,5/20/2022,g_low,g_up,Elevation transplant,5/20/2022 9:35,-0.685245,7.05034,0.318315,22.158335,21.396665
44,1,5/20/2022,g_low,g_up,Elevation transplant,5/20/2022 10:11,-0.685225,6.941425,0.312875,23.503515,20.9
45,1,5/20/2022,g_mid,g_mid,Elevation transplant,5/20/2022 12:10,-0.184435,5.546205,0.39746,25.73932,21.008335
46,1,5/20/2022,g_mid,g_mid,Elevation transplant,5/20/2022 10:54,-0.53186,6.44766,0.349635,24.418475,21.3
47,1,5/20/2022,g_mid,g_mid,Elevation transplant,5/20/2022 10:36,-0.3793,8.638355,0.369185,23.36202,21.3
48,1,5/20/2022,g_mid,g_mid,Elevation transplant,5/20/2022 10:27,-0.241135,3.53594,0.321,23.36715,21.1
50,1,5/20/2022,g_mid,g_low,Elevation transplant,5/20/2022 12:23,3.557955,0.829805,0.431965,25.02056,21.9
51,1,5/20/2022,g_mid,g_low,Elevation transplant,5/20/2022 13:28,1.61601,2.833465,0.504215,26.194675,23
52,1,5/20/2022,g_mid,g_low,Elevation transplant,5/20/2022 12:26,7.082125,1.903595,0.51411,24.89147,22.02
53,1,5/20/2022,g_mid,g_up,Elevation transplant,5/20/2022 10:02,-0.274945,5.09082,0.360675,22.69971,20.7
54,1,5/20/2022,g_mid,g_up,Elevation transplant,5/20/2022 10:05,-1.23743,7.64718,0.32567,22.97311,20.73333
55,1,5/20/2022,g_mid,g_up,Elevation transplant,5/20/2022 9:38,-0.43612,6.278955,0.353955,22.24264,21.157485
56,1,5/20/2022,g_mid,g_up,Elevation transplant,5/20/2022 10:08,-0.346215,4.122415,0.418335,23.139495,20.9
57,1,5/20/2022,g_up,g_up,Elevation transplant,5/20/2022 10:17,-0.32229,5.044645,0.315,23.10953,20.9
58,1,5/20/2022,g_up,g_up,Elevation transplant,5/20/2022 9:41,-0.22422,4.83787,0.4052,22.564015,21.1
59,1,5/20/2022,g_up,g_up,Elevation transplant,5/20/2022 9:50,-0.41297,5.014455,0.39861,22.658025,20.978335
60,1,5/20/2022,g_up,g_up,Elevation transplant,5/20/2022 9:47,-0.39033,4.46552,0.29936,22.517175,21.021665
61,1,5/20/2022,g_up,g_low,Elevation transplant,5/20/2022 13:25,-0.12459,4.38007,0.34337,26.52727,23
62,1,5/20/2022,g_up,g_low,Elevation transplant,5/20/2022 12:57,43.286895,6.70125,0.30955,25.453325,22.8
63,1,5/20/2022,g_up,g_low,Elevation transplant,5/20/2022 13:00,3.469035,3.72144,0.379965,25.71432,22.66
64,1,5/20/2022,g_up,g_low,Elevation transplant,5/20/2022 12:35,1.72589,2.254605,0.262135,25.34185,22.028815
65,1,5/20/2022,g_up,g_mid,Elevation transplant,5/20/2022 10:25,-0.22881,5.23805,0.379,23.42784,21.3
66,1,5/20/2022,g_up,g_mid,Elevation transplant,5/20/2022 10:42,-0.183635,2.843045,0.319225,24.47515,21.226665
67,1,5/20/2022,g_up,g_mid,Elevation transplant,5/20/2022 10:57,-0.366435,4.27472,0.35334,24.376535,21.675
68,1,5/20/2022,g_up,g_mid,Elevation transplant,5/20/2022 12:19,-0.150355,3.105575,0.38755,25.89313,21.9
69,1,5/20/2022,g_low,g_low,Control,5/20/2022 13:09,153.722935,2.556995,0.535235,26.616815,22.768335
70,1,5/20/2022,g_low,g_low,Control,5/20/2022 13:12,0.526155,4.507875,0.436335,26.846005,22.6
71,1,5/20/2022,g_low,g_low,Control,5/20/2022 13:06,21.53287,5.88417,0.32875,26.41566,22.248335
72,1,5/20/2022,g_low,g_low,Control,5/20/2022 12:42,1.508015,4.03931,0.32274,25.51443,21.823335
81,1,5/20/2022,g_mid,g_mid,Control,5/20/2022 10:51,-0.463605,4.93094,0.37444,23.98991,21.375
82,1,5/20/2022,g_mid,g_mid,Control,5/20/2022 10:39,-0.86446,7.478715,0.37489,23.96073,21.3
83,1,5/20/2022,g_mid,g_mid,Control,5/20/2022 10:30,-0.48732,5.49304,0.374725,23.449295,21.1
84,1,5/20/2022,g_mid,g_mid,Control,5/20/2022 12:16,-0.734525,6.40581,0.37851,25.690765,21.7
85,1,5/20/2022,g_up,g_up,Control,5/20/2022 9:44,-0.69052,5.02167,0.332035,22.645855,21.043335
86,1,5/20/2022,g_up,g_up,Control,5/20/2022 10:20,-0.517185,5.474605,0.36759,23.359985,21.025
87,1,5/20/2022,g_up,g_up,Control,5/20/2022 9:53,-0.69698,5.935665,0.32142,22.73077,20.9
88,1,5/20/2022,g_up,g_up,Control,5/20/2022 10:14,-0.46109,5.541225,0.37516,23.283795,20.9
17,1,5/25/2022,midstream,g_low,Salinity transplant,5/25/2022 12:57,1.49079,2.02402,0.205865,20.51466,18.531665
18,1,5/25/2022,midstream,g_low,Salinity transplant,5/25/2022 12:43,0.52908,4.243145,0.26915,20.150635,18.2
19,1,5/25/2022,midstream,g_low,Salinity transplant,5/25/2022 13:06,-0.09894,2.63686,0.304285,20.62401,18.8
2,1,5/25/2022,g_low,g_low,Salinity transplant,5/25/2022 13:29,1.86036,4.396515,0.4043,20.78669,19.116665
20,1,5/25/2022,midstream,g_low,Salinity transplant,5/25/2022 13:37,-0.05534,4.5377,0.272015,21.115045,19.5
29,1,5/25/2022,upstream,g_low,Salinity transplant,5/25/2022 13:20,23.80307,0.842765,0.465845,20.84613,19.608335
3,1,5/25/2022,g_low,g_low,Salinity transplant,5/25/2022 12:30,-0.05742,4.76532,0.2972,20.4911,18.8
30,1,5/25/2022,upstream,g_low,Salinity transplant,5/25/2022 13:33,0.035365,4.089665,0.106,20.96724,19.3
31,1,5/25/2022,upstream,g_low,Salinity transplant,5/25/2022 12:25,-0.56934,4.39309,0.23895,20.24709,18.53667
32,1,5/25/2022,upstream,g_low,Salinity transplant,5/25/2022 13:40,5.4465,3.99796,0.3722,20.622665,19.5
37,1,5/25/2022,g_low,g_mid,Elevation transplant,5/25/2022 12:16,-0.336655,2.26397,0.3903,19.271415,18.4
38,1,5/25/2022,g_low,g_mid,Elevation transplant,5/25/2022 12:00,-0.26579,4.545095,0.17963,19.346965,18.8
39,1,5/25/2022,g_low,g_mid,Elevation transplant,5/25/2022 11:49,-0.25343,6.68388,0.153235,19.33756,18.331665
4,1,5/25/2022,g_low,g_low,Salinity transplant,5/25/2022 13:13,0.29759,5.057695,0.363085,20.826035,18.8
40,1,5/25/2022,g_low,g_mid,Elevation transplant,5/25/2022 11:32,-0.275895,5.050625,0.105925,19.20971,18
41,1,5/25/2022,g_low,g_up,Elevation transplant,5/25/2022 10:42,-0.577215,6.40884,0.094285,17.888475,17.271665
42,1,5/25/2022,g_low,g_up,Elevation transplant,5/25/2022 10:55,-0.926315,6.53999,0.09551,17.965415,17.3
43,1,5/25/2022,g_low,g_up,Elevation transplant,5/25/2022 11:02,-0.41458,3.875205,0.07084,18.05314,17.3
44,1,5/25/2022,g_low,g_up,Elevation transplant,5/25/2022 11:15,-0.73151,8.45008,0.080965,18.342845,17.588335
45,1,5/25/2022,g_mid,g_mid,Elevation transplant,5/25/2022 11:36,-0.12554,4.875265,0.176615,19.09268,18
46,1,5/25/2022,g_mid,g_mid,Elevation transplant,5/25/2022 11:46,-0.28768,6.309985,0.22645,19.259925,18.2
47,1,5/25/2022,g_mid,g_mid,Elevation transplant,5/25/2022 11:56,-0.150335,4.400965,0.161255,19.4027,18.7
48,1,5/25/2022,g_mid,g_mid,Elevation transplant,5/25/2022 12:06,-0.07812,2.574665,0.265115,19.12617,18.555
49,1,5/25/2022,g_mid,g_low,Elevation transplant,5/25/2022 12:39,58.01995,0.26406,0.44005,19.65565,18.105
50,1,5/25/2022,g_mid,g_low,Elevation transplant,5/25/2022 13:24,23.983375,1.120485,0.510885,20.44137,19.45
51,1,5/25/2022,g_mid,g_low,Elevation transplant,5/25/2022 12:19,2.134805,2.16634,0.21821,19.207485,18.4
52,1,5/25/2022,g_mid,g_low,Elevation transplant,5/25/2022 13:17,19.583025,1.586445,0.331715,20.90787,18.993335
53,1,5/25/2022,g_mid,g_up,Elevation transplant,5/25/2022 10:52,-0.00023,4.03006,0.10341,17.940485,17.3
54,1,5/25/2022,g_mid,g_up,Elevation transplant,5/25/2022 11:09,-0.95739,8.015875,0.06279,18.240425,17.388335
55,1,5/25/2022,g_mid,g_up,Elevation transplant,5/25/2022 10:58,-0.17032,2.99464,0.072495,17.957635,17.3
56,1,5/25/2022,g_mid,g_up,Elevation transplant,5/25/2022 11:12,-0.217635,3.993635,0.12242,18.30072,17.45833
57,1,5/25/2022,g_up,g_up,Elevation transplant,5/25/2022 11:22,-0.19004,4.712295,0.067125,18.41093,17.8425
58,1,5/25/2022,g_up,g_up,Elevation transplant,5/25/2022 10:38,-0.048225,2.746805,0.09725,17.696855,17.279165
59,1,5/25/2022,g_up,g_up,Elevation transplant,5/25/2022 10:48,-0.22964,4.34378,0.1048,17.99778,17.24667
60,3,5/25/2022,g_up,g_up,Elevation transplant,5/25/2022 10:28,-2.99211,2.5956,0.119025,17.492905,17.3
60,4,5/25/2022,g_up,g_up,Elevation transplant,5/25/2022 10:31,-0.2204,3.286335,0.107525,17.402,17.2425
61,1,5/25/2022,g_up,g_low,Elevation transplant,5/25/2022 12:23,-0.09783,3.341655,0.265825,19.70789,18.4
62,1,5/25/2022,g_up,g_low,Elevation transplant,5/25/2022 12:46,30.616125,4.15961,0.389775,19.83379,18.2
63,1,5/25/2022,g_up,g_low,Elevation transplant,5/25/2022 12:54,10.921445,2.034105,0.352385,20.30223,18.56
64,1,5/25/2022,g_up,g_low,Elevation transplant,5/25/2022 13:09,0.96474,1.95653,0.353915,20.660085,18.8
65,1,5/25/2022,g_up,g_mid,Elevation transplant,5/25/2022 11:42,-0.10344,2.739875,0.209365,18.70936,18.2
66,1,5/25/2022,g_up,g_mid,Elevation transplant,5/25/2022 12:08,0.01768,1.56882,0.28215,19.08477,18.55667
67,1,5/25/2022,g_up,g_mid,Elevation transplant,5/25/2022 11:39,-0.253755,4.428785,0.190115,18.8836,18.2
68,1,5/25/2022,g_up,g_mid,Elevation transplant,5/25/2022 11:25,-0.058795,2.518475,0.155585,18.606545,18
69,1,5/25/2022,g_low,g_low,Control,5/25/2022 12:36,914.73023,1.598425,0.33325,19.732875,18.541665
70,1,5/25/2022,g_low,g_low,Control,5/25/2022 12:32,0.52972,4.87572,0.325085,20.19586,18.8625
71,1,5/25/2022,g_low,g_low,Control,5/25/2022 12:50,17.33954,4.682555,0.35904,20.269395,18.325
72,1,5/25/2022,g_low,g_low,Control,5/25/2022 13:01,1.50458,3.085145,0.31315,20.51426,18.715
81,1,5/25/2022,g_mid,g_mid,Control,5/25/2022 11:53,-0.30869,4.233655,0.175475,19.471195,18.6
82,1,5/25/2022,g_mid,g_mid,Control,5/25/2022 12:13,-0.50207,6.01814,0.28162,19.12774,18.4
83,1,5/25/2022,g_mid,g_mid,Control,5/25/2022 12:03,-0.24099,3.667345,0.28641,19.16451,18.646665
84,1,5/25/2022,g_mid,g_mid,Control,5/25/2022 11:28,-0.51142,5.86688,0.155395,18.61837,18
85,1,5/25/2022,g_up,g_up,Control,5/25/2022 10:35,-0.40117,4.09116,0.0825,17.67181,17.3
86,1,5/25/2022,g_up,g_up,Control,5/25/2022 11:05,-0.247125,3.148685,0.102735,18.295055,17.3
87,1,5/25/2022,g_up,g_up,Control,5/25/2022 10:46,-0.43357,4.42341,0.10415,17.95158,17.2
88,1,5/25/2022,g_up,g_up,Control,5/25/2022 11:18,-0.2691,4.926925,0.111275,18.42183,17.7
37,1,6/8/2022,g_low,g_mid,Elevation transplant,6/8/2022 12:17,-0.80699,8.267145,0.244165,26.364655,23.6
38,1,6/8/2022,g_low,g_mid,Elevation transplant,6/8/2022 11:51,-0.40485,6.25289,0.310865,25.293585,23.5
39,1,6/8/2022,g_low,g_mid,Elevation transplant,6/8/2022 11:34,-0.37163,6.99171,0.358105,24.595665,24.454335
40,1,6/8/2022,g_low,g_mid,Elevation transplant,6/8/2022 12:44,-0.98141,16.785165,0.325305,27.28724,23.92625
45,1,6/8/2022,g_mid,g_mid,Elevation transplant,6/8/2022 12:39,-0.279185,7.13462,0.355905,26.51784,23.789745
46,1,6/8/2022,g_mid,g_mid,Elevation transplant,6/8/2022 12:23,-1.084995,12.23143,0.28762,26.292475,23.72437
47,1,6/8/2022,g_mid,g_mid,Elevation transplant,6/8/2022 11:46,-0.313815,8.802125,0.371815,25.29313,23.746665
48,1,6/8/2022,g_mid,g_mid,Elevation transplant,6/8/2022 12:01,-0.29215,4.868865,0.158345,25.99142,23.5
57,1,6/8/2022,g_up,g_up,Elevation transplant,6/8/2022 12:28,-0.943195,7.50375,0.28392,25.94341,23.7775
60,1,6/8/2022,g_up,g_up,Elevation transplant,6/8/2022 12:06,-0.43703,5.232305,0.24968,26.19977,23.6
65,1,6/8/2022,g_up,g_mid,Elevation transplant,6/8/2022 12:33,-0.48404,7.74204,0.303925,26.049225,23.7
68,1,6/8/2022,g_up,g_mid,Elevation transplant,6/8/2022 12:54,-0.35413,5.998585,0.38767,27.748325,24.889165
81,1,6/8/2022,g_mid,g_mid,Control,6/8/2022 11:41,-0.714685,7.108035,0.29739,25.35562,24.0925
82,1,6/8/2022,g_mid,g_mid,Control,6/8/2022 12:11,-1.16955,9.39807,0.35604,26.37064,23.8
83,1,6/8/2022,g_mid,g_mid,Control,6/8/2022 11:56,-0.8566,8.06517,0.183115,25.75514,23.5
84,1,6/8/2022,g_mid,g_mid,Control,6/8/2022 12:48,-1.03096,10.73894,0.2829,28.02585,24.63
17,1,6/10/2022,midstream,g_low,Salinity transplant,6/10/2022 11:09,1.656035,2.823505,0.370285,24.217325,22.4
18,1,6/10/2022,midstream,g_low,Salinity transplant,6/10/2022 11:19,0.105595,3.823575,0.363,24.951795,22.5
19,1,6/10/2022,midstream,g_low,Salinity transplant,6/10/2022 10:36,0.352695,3.33914,0.36649,22.30354,20.749
2,1,6/10/2022,g_low,g_low,Salinity transplant,6/10/2022 10:02,0.13634,3.12115,0.33825,21.76129,22.2375
20,1,6/10/2022,midstream,g_low,Salinity transplant,6/10/2022 10:47,-0.03788,4.39428,0.246245,23.44252,21.167
29,1,6/10/2022,upstream,g_low,Salinity transplant,6/10/2022 10:21,19.57819,0.976835,0.4278,21.37776,21.157
3,1,6/10/2022,g_low,g_low,Salinity transplant,6/10/2022 11:55,-0.282645,5.91906,0.23178,25.45663,22.708
30,1,6/10/2022,upstream,g_low,Salinity transplant,6/10/2022 10:42,-0.04883,4.763735,0.372405,22.69643,20.9
31,1,6/10/2022,upstream,g_low,Salinity transplant,6/10/2022 11:50,-0.39615,5.751365,0.29925,25.554875,22.42
32,1,6/10/2022,upstream,g_low,Salinity transplant,6/10/2022 10:52,0.50242,3.92578,0.23509,23.50711,21.614
4,1,6/10/2022,g_low,g_low,Salinity transplant,6/10/2022 10:11,-0.180145,5.857675,0.322725,21.86406,21.994
41,1,6/10/2022,g_low,g_up,Elevation transplant,6/10/2022 12:16,-0.63357,6.57219,0.32858,24.734575,22.596
42,1,6/10/2022,g_low,g_up,Elevation transplant,6/10/2022 13:01,-1.307065,9.83303,0.304305,25.729645,23.1575
43,1,6/10/2022,g_low,g_up,Elevation transplant,6/10/2022 13:10,-0.32894,7.52189,0.357845,27.42849,23.655
44,1,6/10/2022,g_low,g_up,Elevation transplant,6/10/2022 12:43,-0.5778,7.595405,0.42942,24.62758,22.4
49,1,6/10/2022,g_mid,g_low,Elevation transplant,6/10/2022 11:35,42.9277,1.32443,0.5493,23.507135,22.244
50,1,6/10/2022,g_mid,g_low,Elevation transplant,6/10/2022 10:16,49.9637,0.74363,0.4324,21.502885,21.858
51,1,6/10/2022,g_mid,g_low,Elevation transplant,6/10/2022 11:40,33.0702,4.063585,0.42994,23.605795,21.956
52,1,6/10/2022,g_mid,g_low,Elevation transplant,6/10/2022 10:26,85.00063,1.813455,0.388035,21.32272,20.733
53,1,6/10/2022,g_mid,g_up,Elevation transplant,6/10/2022 12:30,-0.15714,4.140395,0.349915,25.018415,22.634715
54,1,6/10/2022,g_mid,g_up,Elevation transplant,6/10/2022 12:34,-1.366595,9.63217,0.262515,24.6923,22.755
55,1,6/10/2022,g_mid,g_up,Elevation transplant,6/10/2022 13:05,-0.167895,3.91205,0.31411,25.21979,23.432
56,1,6/10/2022,g_mid,g_up,Elevation transplant,6/10/2022 12:39,-0.49779,6.748555,0.419225,24.733055,22.5
57,1,6/10/2022,g_up,g_up,Elevation transplant,6/10/2022 12:52,-0.23079,4.63255,0.313775,24.79745,22.866
58,1,6/10/2022,g_up,g_up,Elevation transplant,6/10/2022 12:11,-0.103575,4.451105,0.310165,25.066415,22.513
59,1,6/10/2022,g_up,g_up,Elevation transplant,6/10/2022 12:25,-0.39507,5.571105,0.40603,25.324795,22.487
60,1,6/10/2022,g_up,g_up,Elevation transplant,6/10/2022 12:02,-0.37051,4.982245,0.312765,24.519405,22.7
61,1,6/10/2022,g_up,g_low,Elevation transplant,6/10/2022 11:45,-0.13295,3.53904,0.348255,24.66085,21.999
62,1,6/10/2022,g_up,g_low,Elevation transplant,6/10/2022 10:58,29.5951,8.423655,0.44278,23.51184,22.1745
63,1,6/10/2022,g_up,g_low,Elevation transplant,6/10/2022 11:14,7.60023,3.857815,0.45853,24.012605,22.494
64,1,6/10/2022,g_up,g_low,Elevation transplant,6/10/2022 10:07,0.2415,2.84443,0.311285,21.464515,22.054
69,1,6/10/2022,g_low,g_low,Control,6/10/2022 11:30,1139.66102,1.683935,0.38898,23.81245,22.566
70,1,6/10/2022,g_low,g_low,Control,6/10/2022 11:25,0.977885,7.78145,0.461285,25.007365,22.592
71,1,6/10/2022,g_low,g_low,Control,6/10/2022 11:03,293.9781,6.05367,0.378795,23.75918,22.4
72,1,6/10/2022,g_low,g_low,Control,6/10/2022 10:31,1.37445,3.947365,0.331385,22.02603,20.7
85,1,6/10/2022,g_up,g_up,Control,6/10/2022 12:06,-0.66573,6.2718,0.303995,24.53517,22.5
86,1,6/10/2022,g_up,g_up,Control,6/10/2022 12:56,-0.388765,4.90964,0.406015,25.491505,23
87,1,6/10/2022,g_up,g_up,Control,6/10/2022 12:19,-0.51127,5.64932,0.37355,24.62488,22.4
88,1,6/10/2022,g_up,g_up,Control,6/10/2022 12:46,-0.33461,5.70561,0.41889,24.70867,22.478
37,1,6/15/2022,g_low,g_mid,Elevation transplant,6/15/2022 10:45,-0.42124,5.95677,0.3717,25.13944,23.3
38,1,6/15/2022,g_low,g_mid,Elevation transplant,6/15/2022 11:00,-0.22458,5.25957,0.49024,24.930325,23
39,1,6/15/2022,g_low,g_mid,Elevation transplant,6/15/2022 11:13,-0.292995,6.545945,0.363135,24.954255,23.252
40,1,6/15/2022,g_low,g_mid,Elevation transplant,6/15/2022 11:41,-0.75265,17.663385,0.333035,25.68983,23.463
