Collar,Salinity_Transect,Elevation_Transect,Treatment,Home_Salinity,Home_Elevation,Local_Salinity,Local_Elevation,Depth,TotalN,TotalC,CtoN,LBC,LBCeq,pH,BaseSat,CEC,Ca,Cd,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,Pb,Zn,meanCO2,meanSM,meanT5
12,Y,N,Trenched,High,Low,Low,Low,5,,,,1285,3726.5,4.83,37.25996695,25.77781556,496.4583,0.0721,0.2965,0.6571,883.8061,225.4888,584.0705,9.2548,<0.06,385.7292,3.109,17.3638,1.6667,2.9647,3.816509444,0.203441804,22.97101209
13,Y,N,Trenched,Mid,Low,Mid,Low,5,0.342,5.74,16.78362573,1146,3323.4,4.46,28.13061416,23.49104811,351.8814,0.146,0.1976,0.6357,1059.8625,172.8952,509.1065,8.7371,<0.07,37.4656,3.4278,23.3333,1.744,6.323,8.138582222,0.28458289,22.32115345
14,Y,N,Trenched,Mid,Low,Mid,Low,5,0.481,8.967,18.64241164,1451,4207.9,4.66,33.3844613,29.56212978,479.4245,0.1079,0.1799,0.8094,1785.2788,248.9209,736.6547,4.946,<0.07,159.8471,3.5881,19.2986,2.0504,6.6727,5.86123037,0.125756958,22.19443315
15,Y,N,Trenched,Mid,Low,Mid,Low,5,0.59,10.414,17.65084746,1648,4779.2,4.71,34.93042626,33.63897247,630.6047,<0.09,0.1047,0.8372,1882.6628,242.3721,819.0349,4.8837,<0.09,264.6047,4.5116,23.7791,4.1047,6.3023,5.824022963,0.155471685,22.44227415
16,Y,N,Trenched,Mid,Low,Mid,Low,5,0.315,5.567,17.67301587,780,2262,5.86,76.12808152,21.60429629,731.3571,<0.07,0.0804,0.4464,466.7946,211.5268,1035.4643,18.5357,<0.07,832.3482,1.3571,36.2321,0.9464,2.9821,5.885248148,0.21392018,22.66045537
17,Y,N,Trenched,Mid,Low,High,Low,5,0.223,4.414,19.79372197,1275,3697.5,4.61,17.89138499,21.5252078,306.1269,0.0896,0.2015,0.6493,1039.8433,127.4104,209.3881,9.7687,<0.06,57.2537,2.8358,39.194,1.4478,3.5821,6.19173375,0.614920781,23.848025
18,Y,N,Trenched,Mid,Low,High,Low,5,0.408,8.501,20.83578431,1279,3709.1,4.42,21.0589345,24.24461322,381.9059,0.1073,0.132,0.5446,879.1749,119.1749,331.0891,8.2921,<0.07,30.2393,2.4422,30.165,5.6188,5.264,9.480680952,0.298647383,23.78947654
19,Y,N,Trenched,Mid,Low,High,Low,5,0.447,8.323,18.6196868,1814,5260.6,4.5,25.08374894,35.10987219,547.4059,0.1046,0.2197,0.8682,1520.5753,186.4854,617.6046,8.7971,<0.08,102.3431,4.6548,38.0753,1.9456,6.2343,7.078207083,0.343693716,23.68267814
20,Y,N,Trenched,Mid,Low,High,Low,5,0.494,8.365,16.93319838,1951,5657.9,4.54,30.0403075,39.78986614,847.2578,0.1938,0.1744,0.9109,535.0775,225.969,839.186,28.624,<0.08,33.1395,5.1163,43.2946,1.2694,6.7054,7.660017407,0.285554723,23.92061477
21,Y,N,Trenched,Mid,Low,Low,Low,5,0.25,3.52,14.08,968,2807.2,4.66,30.16362252,18.81210978,483.4091,0.2214,0.2156,0.9441,416.0548,127.1096,295.4312,76.9988,<0.05,107.9895,2.7914,26.6317,3.549,3.8869,4.629164074,0.294878539,23.41573556
22,Y,N,Trenched,Mid,Low,Low,Low,5,,,,1475,4277.5,4.82,36.12107094,29.19569923,770.9451,0.1016,0.2033,1.0061,1046.626,208.0285,636.7886,25.7927,<0.08,195.752,3.3638,38.8211,2.2053,5.6606,5.034504074,0.253806856,21.92965032
23,Y,N,Trenched,Mid,Low,Low,Low,5,0.247,4.394,17.78947368,1265,3668.5,4.52,29.92520313,25.96619728,493.8579,<0.07,0.2608,0.4586,589.8831,137.2212,582.2752,12.2482,<0.07,22.3112,3.3273,30.3957,0.6115,3.3543,7.488125,0.126345237,22.30398121
24,Y,N,Trenched,Mid,Low,Low,Low,5,0.467,8.37,17.92291221,1530,4437,4.71,27.08443459,27.86985178,565.4668,0.0633,0.0949,0.5459,702.769,188.3149,419.6282,28.4177,<0.06,170.4984,4.2563,32.1677,1.0601,4.6677,11.51814,0.2716226,21.9467914
25,Y,N,Trenched,Low,Low,Low,Low,5,0.137,2.926,21.35766423,1100,3190,4.39,15.31169365,19.66245485,339.1878,0.0635,0.2221,<0.25,657.3668,87.6713,124.6193,33.7056,<0.05,11.8274,3.915,25.7868,1.1104,2.2335,6.515497037,0.20739238,21.84170771
26,Y,N,Trenched,Low,Low,Low,Low,5,0.415,8.488,20.45301205,1253,3633.7,4.61,27.23849674,23.87125777,544.4611,<0.07,0.1678,0.7244,1000.5654,137.0318,329.947,32.712,<0.07,156.1572,4.7792,43.2244,0.8569,3.8428,6.66374,0.248588881,22.29864052
27,Y,N,Trenched,Low,Low,Low,Low,5,1.063,16.784,15.78927563,443,1284.7,4.9,70.12554092,18.06138141,932.1786,<0.10,<0.10,0.8214,1411.8929,248.6786,723.4881,11.8333,<0.10,307.75,5.5476,51.119,0.9524,4.6429,4.38875,0.194262229,22.7832696
28,Y,N,Trenched,Low,Low,Low,Low,5,0.241,4.816,19.98340249,1124,3259.6,4.49,19.13735015,20.23578504,473.0517,0.1187,0.1816,0.5726,862.5489,72.6885,152.2696,27.7025,<0.06,11.9693,2.9609,27.486,2.2416,3.2472,5.10530963,0.217681766,21.68697457
29,Y,N,Trenched,Low,Low,High,Low,5,0.188,4.408,23.44680851,1378,3996.2,4.21,7.510275402,24.1094847,112.9708,<0.05,0.2255,0.756,1211.1936,66.1605,94.9602,1.3064,<0.05,65.5172,2.6393,29.6618,1.5915,2.6459,4.620922083,0.389712626,23.57001052
30,Y,N,Trenched,Low,Low,High,Low,5,0.515,9.886,19.1961165,2133,6185.7,4.41,14.21359465,37.35082018,373.1485,0.1962,0.2218,0.7509,2484.9744,149.4198,351.0922,14.7099,0.0683,30.8788,6.314,44.1724,0.9983,7.3038,7.863848095,0.246713471,23.97176927
31,Y,N,Trenched,Low,Low,High,Low,5,0.347,6.035,17.39193084,1352,3920.8,4.25,12.355533,24.60440543,321.779,0.1646,0.1881,0.6113,1062.884,96.6614,133.3229,14.2085,<0.06,16.6144,2.3433,29.3103,2.116,4.3652,6.972995,0.172376522,24.15238603
32,Y,N,Trenched,Low,Low,High,Low,5,0.565,10.837,19.18053097,1591,4613.9,4.62,29.2888499,31.05898288,618.0114,0.1989,0.142,1.089,1716.108,189.5644,639.8011,16.4867,<0.08,43.4754,3.7689,49.1667,1.089,7.7746,8.3295125,0.375453328,23.64368529
33,Y,N,Trenched,Low,Low,Mid,Low,5,0.302,5.226,17.30463576,829,2404.1,4.61,28.43873823,16.05840606,335.0336,0.1457,0.1345,0.5269,764.6188,115.9753,200.9865,14.7646,<0.09,211.4574,2.5673,37.2085,1.3677,2.7018,6.301941111,0.179832748,23.43862859
34,Y,N,Trenched,Low,Low,Mid,Low,5,0.34,6.08,17.88235294,862,2499.8,4.52,30.65944185,17.88132131,252.8938,<0.07,0.1465,0.5678,781.6392,173.0403,300.0458,4.5604,<0.07,292.967,3.0495,33.5165,1.1081,2.033,4.924797037,0.347275068,22.75158405
35,Y,N,Trenched,Low,Low,Mid,Low,5,0.267,5.818,21.79026217,917,2659.3,4.74,28.53470937,16.81940407,207.107,<0.05,0.2236,0.2981,787.832,79.2073,275.1287,5.6707,<0.05,291.6396,2.9336,24.0718,2.0325,1.4092,6.972566667,0.283366876,21.97312973
36,Y,N,Trenched,Low,Low,Mid,Low,5,0.287,6.127,21.34843206,1378,3996.2,4.66,28.8023422,26.26802142,366.8098,<0.07,0.1515,<0.34,541.2542,101.6667,420.0421,5.3283,<0.07,453.266,1.7256,35.0421,1.5067,2.2643,9.449816611,0.337812523,22.28724837
37,N,Y,Trenched,High,Low,High,Mid,5,0.368,6.862,18.64673913,1267,3674.3,4.51,27.14931483,25.11714743,427.5683,0.1109,0.2986,0.7253,711.6468,232.9266,480.5631,4.7526,<0.07,18.2509,2.4488,24.7782,2.099,4.3089,9.03,0.34,21.9
38,N,Y,Trenched,High,Low,High,Mid,5,0.313,4.961,15.84984026,933,2705.7,5.1,51.88497369,21.36891692,1098.5559,0.109,0.1567,0.8651,734.673,244.6117,587.9973,24.3324,<0.05,15.4768,2.718,28.7534,1.0899,5.2793,7.24,0.263,22
39,N,Y,Trenched,High,Low,High,Mid,5,0.359,6.646,18.51253482,780,2262,5.69,71.84313989,21.04794347,1578.1552,0.0948,0.1121,0.4397,351.1724,226.1379,789.9655,20.0431,<0.07,15.6034,1.8707,29.3793,1.6552,5.3534,8.3,0.245,22.6
40,N,Y,Trenched,High,Low,High,Mid,5,0.489,8.038,16.43762781,1394,4042.6,4.4,28.99936485,29.60750979,668.7838,0.0869,0.1351,0.9653,885.9942,304.8938,522.7606,10.1931,<0.08,23.9093,2.4421,42.7896,1.3224,5.8012,9.2,0.245,22.1
41,N,Y,Trenched,High,Low,High,High,5,0.454,8.774,19.32599119,1276,3700.4,5.32,43.45706515,21.98920879,1014.7792,0.1039,0.1623,0.7338,878.4416,198.0519,469.1558,19.0195,<0.05,14.8377,1.5584,16.5455,1.4221,5.6104,,,
42,N,Y,Trenched,High,Low,High,High,5,0.472,7.869,16.67161017,612,1774.8,5.68,76.22679353,19.70904516,1804.1837,0.1361,0.2466,0.9949,1392.8146,210.6463,644.932,19.8044,<0.07,20.2636,1.3861,13.1378,1.233,4.1497,,,
43,N,Y,Trenched,High,Low,High,High,5,0.579,9.176,15.84801382,1220,3538,5.06,45.57309441,25.22179031,1177.2668,0.0933,0.1399,0.6996,1280.2612,224.2164,592.8172,17.3228,<0.07,21.3806,2.6586,14.9907,1.3806,4.6828,,,
44,N,Y,Trenched,High,Low,High,High,5,0.53,8.226,15.52075472,832,2412.8,4.98,49.12017273,19.15830403,858.1938,0.1101,0.1652,0.6938,952.7863,314.0419,506.3436,18.3811,<0.09,21.8172,2.7313,24.8678,21.8392,6.6079,,,
45,N,Y,Trenched,High,Mid,High,Mid,5,0.438,6.36,14.52054795,808,2343.2,6.25,84.75753097,23.0592563,2267.1487,0.1634,0.1225,<0.33,82.6961,306.9771,882.3856,57.3448,<0.07,15.7271,1.6422,21.299,0.6536,7.5082,7.9,0.291,22.9
46,N,Y,Trenched,High,Mid,High,Mid,5,0.358,6.116,17.08379888,947,2746.3,5.73,64.81814872,19.82727385,1420.2576,0.1145,0.0954,0.4485,139.1603,226.021,612.1374,60.0286,<0.08,16.0305,1.7748,23.2729,1.6889,7.1851,7.45,0.423,23.4
47,N,Y,Trenched,High,Mid,High,Mid,5,0.344,4.837,14.06104651,728,2111.2,6.06,79.71132104,19.56290997,1751.3115,0.0888,0.123,0.6011,156.776,256.5779,734.515,61.0724,<0.05,13.4426,1.6462,23.3743,0.8538,6.4071,6.7,0.432,22.4
48,N,Y,Trenched,High,Mid,High,Mid,5,0.279,3.864,13.84946237,754,2186.6,5.42,64.04326756,19.21658485,1269.6516,0.0856,0.1406,0.4156,122.2861,232.0416,636.1614,23.099,<0.05,14.3399,1.5831,25.0367,1.143,3.7653,3.93,0.51,21.4
49,N,Y,Trenched,High,Mid,High,Low,5,0.269,4.45,16.54275093,1909,5536.1,4.54,23.35222215,35.53607523,376.5528,0.1009,0.3882,0.9938,1466.9798,200.6444,633.1755,3.882,<0.06,143.6957,2.4379,31.1568,1.4363,6.9177,4.51,0.36,23.5
50,N,Y,Trenched,High,Mid,High,Low,5,0.315,5.084,16.13968254,1440,4176,4.53,16.97592842,24.84754073,265.3657,0.0931,0.2527,0.758,969.2287,128.1715,290.1529,11.9415,<0.05,33.2779,2.1875,25.7048,1.2832,6.3098,4.48,0.471,23
51,N,Y,Trenched,High,Mid,High,Low,5,0.295,5.139,17.42033898,1051,3047.9,4.98,40.60903725,20.73297928,359.1024,0.0731,0.2793,0.5386,585.7713,201.629,599.7806,11.8949,<0.05,255.0199,2.6795,31.3231,1.2566,5.2061,3.32,0.321,21.7
52,N,Y,Trenched,High,Mid,High,Low,5,0.448,7.764,17.33035714,2047,5936.3,4.45,23.05862615,39.34830961,500.2854,0.1256,0.2169,0.8333,1523.6986,219.9315,584.0183,21.6781,<0.09,262.4315,3.5274,29.2123,2.0434,7.968,3.46,0.408,22.9
53,N,Y,Trenched,High,Mid,High,High,5,0.341,5.142,15.07917889,553,1603.7,6.01,84.17035316,20.05936097,2112.1069,0.1336,0.1101,0.7783,197.3506,250.7075,672.2248,128.3176,<0.06,18.1211,2.1384,19.4497,1.4858,8.011,,,
54,N,Y,Trenched,High,Mid,High,High,5,0.451,5.961,13.2172949,706,2047.4,5.02,56.30652041,18.55586709,993.4328,0.1306,0.1399,0.5504,316.8657,260.7369,567.0243,22.6399,<0.07,20.0653,1.6884,26.7724,1.9776,6.222,,,
55,N,Y,Trenched,High,Mid,High,High,5,0.28,3.646,13.02142857,694,2012.6,5.63,69.92862265,18.3381158,1402.88,0.1333,0.1467,0.42,178.1133,206.4733,625.9067,110.88,<0.05,14.6933,1.4,18.2933,0.9667,4.7,,,
56,N,Y,Trenched,High,Mid,High,High,5,0.31,3.29,10.61290323,933,2705.7,5.58,65.97936721,22.58684619,1561.6815,0.1116,0.1116,0.2976,89.9033,336.4881,739.4717,46.0268,<0.06,15.9152,1.5699,24.7693,0.8929,5.4167,,,
57,N,Y,Trenched,High,High,High,High,5,0.25,3.07,12.28,610,1769,5.72,71.42295326,15.84712389,1465.9015,0.1301,0.1022,0.6691,238.6059,191.7751,410.8736,94.2844,<0.07,16.8587,1.1617,15.3067,0.948,5.2788,,,
58,N,Y,Trenched,High,High,High,High,5,0.24,2.92,12.16666667,717,2079.3,5.9,72.97207892,16.92494212,1444.4868,0.11,0.066,1.5543,106.437,231.6642,537.4633,48.6217,<0.06,12.6906,2.5073,21.9208,1.1437,7.478,,,
59,N,Y,Trenched,High,High,High,High,5,0.41,6.24,15.2195122,534,1548.6,6.31,88.54185943,18.65108904,1991.1936,0.126,0.0862,0.4576,97.8117,289.6684,691.4854,51.2268,<0.05,12.1751,1.5119,19.3833,0.7162,5.5504,,,
60,N,Y,Trenched,High,High,High,High,5,0.31,4.88,15.74193548,741,2148.9,5.54,64.96709786,17.91112816,1329.1667,0.1179,0.0708,0.3381,75.4874,268.5928,508.239,33.3569,<0.06,15.2909,2.0991,23.7972,1.2343,5.5267,,,
61,N,Y,Trenched,High,High,High,Low,5,0.24,3.151,13.12916667,1462,4239.8,4.65,23.92548998,26.19413519,558.7903,0.0806,0.129,0.5403,211.7903,163.0081,346.5484,27.871,<0.06,38.4677,2.5887,20.1774,3.129,3.6855,,,
62,N,Y,Trenched,High,High,High,Low,5,0.26,4.018,15.45384615,1563,4532.7,4.76,24.31428778,26.83002565,459.5893,0.0865,0.2017,0.7277,767.3847,152.781,425.4971,27.9971,<0.06,66.2464,2.0101,19.402,2.183,5.4827,,,
63,N,Y,Trenched,High,High,High,Low,5,0.269,4.075,15.14869888,1180,3422,4.99,39.07061084,22.57767588,725.252,0.109,0.1635,0.7357,716.267,173.7466,531.3215,59.094,<0.05,74.0123,2.7112,18.3992,1.2738,7.0027,,,
64,N,Y,Trenched,High,High,High,Low,5,0.366,5.625,15.36885246,950,2755,5.32,56.55790806,21.30836612,970.8644,0.133,0.1662,0.8511,487.7128,195.3324,767.9854,86.3896,<0.05,68.1981,3.9827,15.6582,2.0479,8.2048,,,
65,N,Y,Trenched,High,High,High,Mid,5,0.332,4.734,14.25903614,713,2067.7,5.95,77.70877353,19.47927812,1785.2258,0.1254,0.1003,0.5351,105.9281,273.9381,653.6957,39.2559,<0.07,14.0552,2.3161,26.0702,1.2458,5.7358,,,
66,N,Y,Trenched,High,High,High,Mid,5,0.263,3.604,13.70342205,653,1893.7,5.69,69.28783399,16.1548163,1314.7456,0.1228,0.1228,0.4825,165.2982,248.9561,469.9737,50.9561,<0.07,14.9035,2.0702,19.7368,1.8246,4.7632,,,
67,N,Y,Trenched,High,High,High,Mid,5,0.265,3.561,13.43773585,531,1539.9,6.11,82.25993582,15.4510264,1540.8333,0.107,0.13,0.5657,100.7187,244.1361,518.1346,33.945,<0.06,14.2737,2.1024,20.7798,1.2232,4.6789,,,
68,N,Y,Trenched,High,High,High,Mid,5,0.286,4.33,15.13986014,662,1919.8,5.5,68.69987445,18.40056517,1426.1038,0.1462,0.1243,0.5117,88.0775,284.1959,566.3231,36.3377,<0.06,14.3933,0.8553,22.2807,2.7851,6.2646,,,
69,Y,Y,Control,High,Low,High,Low,5,,,,1653,4793.7,4.44,20.0226668,30.68837509,325.8838,0.1094,0.2273,0.6987,1245.5135,201.6751,448.3838,4.2003,<0.07,60.1599,5.1178,21.4983,1.4141,5.3199,,,
2,Y,Y,Trenched,High,Low,High,Low,10,0.387,5.963,15.40826873,1656,4802.4,4.53,18.57064583,29.13427994,411.3767,0.1267,0.4307,0.8277,1355.0422,130.8024,345.3801,11.9679,<0.07,32.1959,2.4831,21.0811,2.0017,5.7601,7.609285714,0.384091065,23.91485146
3,Y,Y,Trenched,High,Low,High,Low,10,0.207,3.973,19.19323671,1431,4149.9,4.36,20.18045037,27.45125988,507.306,0.1293,0.2011,0.6609,637.6509,125.0072,309.2098,11.7385,<0.06,24.375,2.6078,23.8003,1.0417,6.329,13.82553673,0.242464455,24.23195523
4,Y,Y,Trenched,High,Low,High,Low,10,0.381,5.9,15.4855643,1806,5237.4,4.31,15.20986894,33.23171181,309.9762,0.0794,0.381,0.5873,1383.1746,151.7857,344.381,6.8968,<0.06,56.4841,3.5794,19.4841,3.3492,4.3175,14.22715556,0.34154459,24.11982679
5,Y,N,Trenched,High,Low,Mid,Low,10,0.194,2.864,14.7628866,1285,3726.5,4.34,15.0553444,23.33870196,214.6398,0.072,0.3818,0.5115,740.6052,187.219,208.5159,5.3746,<0.06,51.2536,2.3919,14.611,1.2896,3.1412,13.19417419,0.10651103,22.18423428
6,Y,N,Trenched,High,Low,Mid,Low,10,0.233,3.607,15.4806867,1370,3973,4.67,24.60758763,24.55708661,399.4631,0.1174,0.3104,0.5453,652.6678,210.7047,330.1091,6.5856,<0.07,173.5151,2.1477,17.7517,3.1963,3.7752,9.406189583,0.091367339,22.31301044
7,Y,N,Trenched,High,Low,Mid,Low,10,0.398,6.294,15.81407035,1395,4045.5,4.6,27.57974008,26.81349117,293.6451,<0.07,0.236,0.6206,1163.007,185.1311,413.4441,3.0769,<0.07,461.5647,3.479,14.9825,6.9406,2.3864,7.296376667,0.419623351,21.85673544
8,Y,N,Trenched,High,Low,Mid,Low,10,0.251,5.375,21.41434263,1391,4033.9,4.59,26.63354721,26.50175558,304.783,<0.06,0.2331,0.5225,269.2685,173.8585,400.8521,4.3971,<0.06,402.09,2.4437,25.2814,1.3505,2.9662,16.28393715,0.506187665,22.65684712
9,Y,N,Trenched,High,Low,Low,Low,10,0.377,8.38,22.22811671,1510,4379,4.2,12.77520725,28.11402495,247.8327,<0.08,0.1806,0.77,949.4677,149.8954,201.3878,7.2624,<0.08,66.673,3.2319,39.3821,1.2833,2.5951,7.10203,0.177858301,21.99465481
10,Y,N,Trenched,High,Low,Low,Low,10,0.3,5.49,18.3,1733,5025.7,4.73,21.40433823,29.03045472,329.9686,<0.06,0.3695,0.6447,1063.1132,154.1509,378.5142,6.1399,<0.06,233.3097,4.033,23.8443,1.0613,3.6399,4.805151481,0.342894826,22.42666758
11,Y,N,Trenched,High,Low,Low,Low,10,0.31,7.33,23.64516129,1249,3622.1,4.38,16.70130952,22.78523695,380.8651,0.0806,0.2199,0.4106,702.9472,98.7903,185.9164,17.8886,<0.06,22.654,5.2199,19.2889,1.5836,5.5132,9.480483333,0.199829577,21.99809563
12,Y,N,Trenched,High,Low,Low,Low,10,0.43,6.42,14.93023256,1637,4747.3,4.72,22.41656051,27.90245978,314.9091,<0.07,0.3909,0.6,854.9182,180.3,344.9091,4.1545,<0.07,309.0455,2.0818,15.4727,1.5636,2.1091,3.816509444,0.203441804,22.97101209
13,Y,N,Trenched,Mid,Low,Mid,Low,10,0.216,3.283,15.19907407,1211,3511.9,4.41,23.07317157,23.6479813,263.55,0.1214,0.3286,0.5071,685.9714,167.5071,426.9,4.05,<0.06,34.8643,2.3286,19.2571,2.0429,4.3286,8.138582222,0.28458289,22.32115345
14,Y,N,Trenched,Mid,Low,Mid,Low,10,0.292,5.561,19.04452055,1092,3166.8,4.33,31.02552259,24.51734704,352.1955,0.0721,0.1362,0.4487,1040.3846,203.4295,570.5449,3.3253,<0.06,130.9856,2.6202,16.8109,2.1074,5.2404,5.86123037,0.125756958,22.19443315
15,Y,N,Trenched,Mid,Low,Mid,Low,10,0.436,7.183,16.47477064,1514,4390.6,4.49,24.6112669,29.23621487,364.2568,<0.11,<0.11,<0.54,1350.5946,203.9595,469.3784,2.0541,<0.11,216.1216,2.7838,21.8649,7.0676,4.1081,5.824022963,0.155471685,22.44227415
16,Y,N,Trenched,Mid,Low,Mid,Low,10,0.305,5.134,16.83278689,898,2604.2,5.68,68.3063718,21.69233499,602.0159,0.0714,0.1508,0.7778,885.2619,196.1984,930.5079,22.2143,<0.06,816.4683,2.4444,31.127,1.373,2.7143,5.885248148,0.21392018,22.66045537
17,Y,N,Trenched,Mid,Low,High,Low,10,0.167,3.412,20.43113772,1187,3442.3,4.53,11.51563914,19.21804241,157.3732,0.0634,0.2746,0.4859,1054.5282,96.8732,119.6056,3.4366,<0.06,41.6549,2.0141,32.8873,1.6056,2.3028,6.19173375,0.614920781,23.848025
18,Y,N,Trenched,Mid,Low,High,Low,10,0.244,4.852,19.8852459,1400,4060,4.48,15.60153978,24.24499208,247.8047,0.0831,0.3186,0.5194,1017.2091,98.3241,262.3684,4.5776,<0.06,24.162,2.2022,31.205,3.3587,3.0817,9.480680952,0.298647383,23.78947654
19,Y,N,Trenched,Mid,Low,High,Low,10,0.371,8.66,23.34231806,1486,4309.4,4.48,20.62068305,27.36150528,304.1541,0.0831,0.355,0.7326,1502.5378,141.148,386.3293,5.1208,<0.06,124.2069,2.4773,26.9033,2.2734,4.071,7.078207083,0.343693716,23.68267814
20,Y,N,Trenched,Mid,Low,High,Low,10,0.464,7.222,15.56465517,1830,5307,4.53,29.38470701,37.12592399,705.9544,0.1689,0.1182,0.8784,606.4189,196.5456,810.549,20.6503,<0.07,27.8378,3.7922,35.4983,1.3514,5.7855,7.660017407,0.285554723,23.92061477
21,Y,N,Trenched,Mid,Low,Low,Low,10,0.13,1.47,11.30769231,997,2891.3,4.47,26.58630395,19.92813165,449.421,0.1839,0.252,0.9332,467.3161,108.6785,252.4387,85.5926,<0.05,153.8079,2.2003,26.3215,3.5354,3.8965,4.629164074,0.294878539,23.41573556
22,Y,N,Trenched,Mid,Low,Low,Low,10,0.31,5.71,18.41935484,1311,3801.9,4.5,24.20169586,25.07905713,383.5227,0.0781,0.2983,1.1435,1194.2827,154.8082,379.5241,4.4318,<0.06,136.2287,2.8267,29.3679,2.8977,3.4162,5.034504074,0.253806856,21.92965032
23,Y,N,Trenched,Mid,Low,Low,Low,10,0.207,3.439,16.61352657,1147,3326.3,4.37,21.50006026,22.28834577,297.3973,<0.07,0.2483,0.3767,651.0702,101.8408,354.9572,6.7123,<0.07,19.7603,1.7209,22.9195,0.9247,1.6524,7.488125,0.126345237,22.30398121
24,Y,N,Trenched,Mid,Low,Low,Low,10,0.426,9.366,21.98591549,1159,3361.1,4.62,26.47933248,21.76100482,372.6813,0.068,0.136,0.5438,932.6888,140.929,332.1677,13.5725,<0.06,176.9486,3.1647,26.2311,1.0725,3.3157,11.51814,0.2716226,21.9467914
25,Y,N,Trenched,Low,Low,Low,Low,10,0.062,1.27,20.48387097,985,2856.5,4.37,8.064860515,16.34325034,125.0891,0.0396,0.2871,<0.20,536.797,58.5347,61.203,29.4604,<0.04,7.4752,3.3317,17.5198,0.7475,1.3069,6.515497037,0.20739238,21.84170771
26,Y,N,Trenched,Low,Low,Low,Low,10,0.228,4.872,21.36842105,1145,3320.5,4.44,17.02299727,20.48876127,250.6418,<0.06,0.2388,0.5896,1165.9403,105.791,175.8881,9.6269,<0.06,114.4478,3.2313,36.5522,1.2313,2.4627,6.66374,0.248588881,22.29864052
27,Y,N,Trenched,Low,Low,Low,Low,10,0.63,11.458,18.18730159,708,2053.2,4.8,47.96737513,17.36233761,523.2738,<0.10,<0.10,<0.48,562.2738,192.7143,502.4405,4.4643,<0.10,237.0714,2.0119,37.1667,0.9405,2.5952,4.38875,0.194262229,22.7832696
