Collar,Salinity_Transect,Elevation_Transect,Treatment,Home_Salinity,Home_Elevation,Local_Salinity,Local_Elevation,Depth,TotalN,TotalC,CtoN,LBC,LBCeq,pH,BaseSat,CEC,Ca,Cd,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,Pb,Zn,meanCO2,meanSM,meanT5
2,Y,Y,Trenched,High,Low,High,Low,5,0.426,6.631,15.5657277,2706,7847.4,4.73,17.62894177,43.25207999,593.6081,0.1648,0.3022,1.2271,1387.8755,171.7033,488.0678,19.4872,<0.07,34.3498,4.6245,28.1868,2.0879,8.7363,7.609285714,0.384091065,23.91485146
3,Y,Y,Trenched,High,Low,High,Low,5,0.213,3.841,18.03286385,1654,4796.6,4.35,20.90176099,32.13975471,656.4524,0.1508,0.1429,0.746,517.8571,148.6587,353.3651,11.4444,<0.06,25.2143,2.7619,29.0397,1,6.8968,13.82553673,0.242464455,24.23195523
4,Y,Y,Trenched,High,Low,High,Low,5,0.435,7.116,16.35862069,2014,5840.6,4.35,18.97667495,38.20526988,454.0538,0.1042,0.2431,1.2326,1397.4653,237.7691,477.3264,12.0139,<0.07,90.2604,4.3924,26.8663,3.0816,5.7205,14.22715556,0.34154459,24.11982679
5,Y,N,Trenched,High,Low,Mid,Low,5,0.461,7.291,15.81561822,1194,3462.6,4.46,20.53583671,22.13577451,359.4838,0.0911,0.1417,0.4555,699.5749,219.7874,235.8502,9.1498,<0.08,50.4555,2.1457,18.168,1.6498,4.0992,13.19417419,0.10651103,22.18423428
6,Y,N,Trenched,High,Low,Mid,Low,5,0.343,5.629,16.41107872,844,2447.6,4.84,50.7411202,21.46543332,877.0351,0.1667,0.2368,0.6228,585.7105,323.1316,564.0702,28.0614,<0.07,224.8246,2.4298,27.7895,2.2018,6.6754,9.406189583,0.091367339,22.31301044
7,Y,N,Trenched,High,Low,Mid,Low,5,0.707,12.777,18.07213579,949,2752.1,4.9,51.28802524,23.72890866,517.5812,<0.07,0.138,0.6088,809.2451,234.2451,761.7532,6.4448,<0.07,605.7305,3.9286,20.1218,4.7078,3.4821,7.296376667,0.419623351,21.85673544
8,Y,N,Trenched,High,Low,Mid,Low,5,0.192,2.568,13.375,1146,3323.4,4.59,31.51962304,23.39179297,273.4959,<0.06,0.1923,0.4052,285.3159,169.1415,443.4547,3.3585,<0.06,431.5659,3.4341,26.7033,1.25,2.6923,16.28393715,0.506187665,22.65684712
9,Y,N,Trenched,High,Low,Low,Low,5,0.42,8.614,20.50952381,2360,6844,4.4,10.12781963,39.59935083,311.0962,<0.08,0.1346,0.6154,1159.7692,165.0288,210.8654,7.7788,<0.08,63.1827,2.125,33.7212,1.4038,2.5865,7.10203,0.177858301,21.99465481
10,Y,N,Trenched,High,Low,Low,Low,5,,,,1550,4495,4.82,27.76595176,27.13152658,468.0693,<0.10,0.2228,0.5941,1102.2153,179.2574,428.8366,8.3045,<0.10,266.7327,3.4035,29.7153,1.0149,3.0817,4.805151481,0.342894826,22.42666758
11,Y,N,Trenched,High,Low,Low,Low,5,0.33,6.71,20.33333333,1635,4741.5,4.51,17.40196873,28.58744892,510.6102,0.1017,0.1441,0.5169,743.1186,142.6186,232.8898,20.0508,<0.07,26.5169,5.2373,24.2034,2.2627,6.9831,9.480483333,0.199829577,21.99809563
