Site,Plot,Core,Collar,Core_placement,Location,Experiment,Installed,Notes
SERC,MSLE,,73,73,MSLE,Control,20180413,
SERC,MSLE,,74,74,MSLE,Control,20180413,
SERC,MSLE,,75,75,MSLE,Control,20180413,
SERC,MSLE,,76,76,MSLE,Control,20180413,
SERC,LSLE,,77,77,LSLE,Control,20180413,
SERC,LSLE,,78,78,LSLE,Control,20180413,
SERC,LSLE,,79,79,LSLE,Control,20180413,
SERC,LSLE,,80,80,LSLE,Control,20180413,
SERC,HSME,,81,81,HSME,Control,20180413,
SERC,HSME,,82,82,HSME,Control,20180413,
SERC,HSME,,83,83,HSME,Control,20180413,
SERC,HSME,,84,84,HSME,Control,20180413,
SERC,HSHE,,85,85,HSHE,Control,20180413,
SERC,HSHE,,86,86,HSHE,Control,20180413,
SERC,HSHE,,87,87,HSHE,Control,20180413,
SERC,HSHE,,88,88,HSHE,Control,20180413,
SERC,HSLE,,89,89,HSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
SERC,HSLE,,90,90,HSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
SERC,HSLE,,91,91,HSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
SERC,HSLE,,92,92,HSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
SERC,MSLE,,93,93,MSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
SERC,MSLE,,94,94,MSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
SERC,MSLE,,95,95,MSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
SERC,MSLE,,96,96,MSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
SERC,LSLE,,97,97,LSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
SERC,LSLE,,98,98,LSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
SERC,LSLE,,99,99,LSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
SERC,LSLE,,100,100,LSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
SERC,HSME,,101,101,HSME,Control,20180413,Repurposed this trenched as extra control 4/7/18
SERC,HSME,,102,102,HSME,Control,20180413,Repurposed this trenched as extra control 4/7/18
SERC,HSME,,103,103,HSME,Control,20180413,Repurposed this trenched as extra control 4/7/18
SERC,HSME,,104,104,HSME,Control,20180413,Repurposed this trenched as extra control 4/7/18
SERC,HSHE,,105,105,HSHE,Control,20180413,Repurposed this trenched as extra control 4/7/18
SERC,HSHE,,106,106,HSHE,Control,20180413,Repurposed this trenched as extra control 4/7/18
SERC,HSHE,,107,107,HSHE,Control,20180413,Repurposed this trenched as extra control 4/7/18
SERC,HSHE,,108,108,HSHE,Control,20180413,Repurposed this trenched as extra control 4/7/18
SERC,MSME,,109,109,MSME,Control,20180413,
SERC,MSME,,110,110,MSME,Control,20180413,
SERC,MSME,,111,111,MSME,Control,20180413,
SERC,MSME,,112,112,MSME,Control,20180413,
SERC,MSHE,,113,113,MSHE,Control,20180413,
SERC,MSHE,,114,114,MSHE,Control,20180413,
SERC,MSHE,,115,115,MSHE,Control,20180413,
SERC,MSHE,,116,116,MSHE,Control,20180413,
SERC,LSME,,117,117,LSME,Control,20180413,
SERC,LSME,,118,118,LSME,Control,20180413,
SERC,LSME,,119,119,LSME,Control,20180413,
SERC,LSME,,120,120,LSME,Control,20180413,
SERC,LSHE,,121,121,LSHE,Control,20180413,
SERC,LSHE,,122,122,LSHE,Control,20180413,
SERC,LSHE,,123,123,LSHE,Control,20180413,
SERC,LSHE,,124,124,LSHE,Control,20180413,
