Site,Plot,Core,Collar,Core_placement,Location,Experiment,Installed,Notes
SERC,HSLE,1,1,1,HSLE,Salinity transplant,20180329,
SERC,HSLE,2,2,2,HSLE,Salinity transplant,20180329,
SERC,HSLE,3,3,3,HSLE,Salinity transplant,20180329,
SERC,HSLE,4,4,4,HSLE,Salinity transplant,20180329,
SERC,MSLE,17,17,5,HSLE,Salinity transplant,20180323,
SERC,MSLE,18,18,6,HSLE,Salinity transplant,20180323,
SERC,MSLE,19,19,7,HSLE,Salinity transplant,20180323,
SERC,MSLE,20,20,8,HSLE,Salinity transplant,20180323,
SERC,LSLE,29,29,9,HSLE,Salinity transplant,20180323,
SERC,LSLE,30,30,10,HSLE,Salinity transplant,20180323,
SERC,LSLE,31,31,11,HSLE,Salinity transplant,20180323,
SERC,LSLE,32,32,12,HSLE,Salinity transplant,20180323,
SERC,MSLE,13,13,13,MSLE,Salinity transplant,20180323,
SERC,MSLE,14,14,14,MSLE,Salinity transplant,20180323,
SERC,MSLE,15,15,15,MSLE,Salinity transplant,20180323,
SERC,MSLE,16,16,16,MSLE,Salinity transplant,20180323,
SERC,HSLE,5,5,17,MSLE,Salinity transplant,20180323,
SERC,HSLE,6,6,18,MSLE,Salinity transplant,20180323,
SERC,HSLE,7,7,19,MSLE,Salinity transplant,20180323,
SERC,HSLE,8,8,20,MSLE,Salinity transplant,20180323,
SERC,LSLE,33,33,21,MSLE,Salinity transplant,20180323,
SERC,LSLE,34,34,22,MSLE,Salinity transplant,20180323,
SERC,LSLE,35,35,23,MSLE,Salinity transplant,20180323,
SERC,LSLE,36,36,24,MSLE,Salinity transplant,20180323,
SERC,LSLE,25,25,25,LSLE,Salinity transplant,20180323,
SERC,LSLE,26,26,26,LSLE,Salinity transplant,20180323,
SERC,LSLE,27,27,27,LSLE,Salinity transplant,20180323,
SERC,LSLE,28,28,28,LSLE,Salinity transplant,20180323,
SERC,HSLE,9,9,29,LSLE,Salinity transplant,20180323,
SERC,HSLE,10,10,30,LSLE,Salinity transplant,20180323,
SERC,HSLE,11,11,31,LSLE,Salinity transplant,20180323,
SERC,HSLE,12,12,32,LSLE,Salinity transplant,20180323,
SERC,MSLE,21,21,33,LSLE,Salinity transplant,20180323,
SERC,MSLE,22,22,34,LSLE,Salinity transplant,20180323,
SERC,MSLE,23,23,35,LSLE,Salinity transplant,20180323,
SERC,MSLE,24,24,36,LSLE,Salinity transplant,20180323,
SERC,HSME,49,49,37,HSLE,Elevation transplant,20180406,
SERC,HSME,50,50,38,HSLE,Elevation transplant,20180406,
SERC,HSME,51,51,39,HSLE,Elevation transplant,20180406,
SERC,HSME,52,52,40,HSLE,Elevation transplant,20180406,
SERC,HSHE,61,61,41,HSLE,Elevation transplant,20180406,
SERC,HSHE,62,62,42,HSLE,Elevation transplant,20180406,
SERC,HSHE,63,63,43,HSLE,Elevation transplant,20180406,
SERC,HSHE,64,64,44,HSLE,Elevation transplant,20180406,
SERC,HSME,45,45,45,HSME,Elevation transplant,20180406,
SERC,HSME,46,46,46,HSME,Elevation transplant,20180406,
SERC,HSME,47,47,47,HSME,Elevation transplant,20180406,
SERC,HSME,48,48,48,HSME,Elevation transplant,20180406,
SERC,HSLE,37,37,49,HSME,Elevation transplant,20180406,
SERC,HSLE,38,38,50,HSME,Elevation transplant,20180406,
SERC,HSLE,39,39,51,HSME,Elevation transplant,20180406,
SERC,HSLE,40,40,52,HSME,Elevation transplant,20180406,
SERC,HSHE,65,65,53,HSME,Elevation transplant,20180406,
SERC,HSHE,66,66,54,HSME,Elevation transplant,20180406,
SERC,HSHE,67,67,55,HSME,Elevation transplant,20180406,
SERC,HSHE,68,68,56,HSME,Elevation transplant,20180406,
SERC,HSHE,57,57,57,HSHE,Elevation transplant,20180406,
SERC,HSHE,58,58,58,HSHE,Elevation transplant,20180406,
SERC,HSHE,59,59,59,HSHE,Elevation transplant,20180406,
SERC,HSHE,60,60,60,HSHE,Elevation transplant,20180406,
SERC,HSLE,41,41,61,HSHE,Elevation transplant,20180406,
SERC,HSLE,42,42,62,HSHE,Elevation transplant,20180406,
SERC,HSLE,43,43,63,HSHE,Elevation transplant,20180406,
SERC,HSLE,44,44,64,HSHE,Elevation transplant,20180406,
SERC,HSME,53,53,65,HSHE,Elevation transplant,20180406,
SERC,HSME,54,54,66,HSHE,Elevation transplant,20180406,
SERC,HSME,55,55,67,HSHE,Elevation transplant,20180406,
SERC,HSME,56,56,68,HSHE,Elevation transplant,20180406,
SERC,HSLE,,69,69,HSLE,Control,20180413,
SERC,HSLE,,70,70,HSLE,Control,20180413,
SERC,HSLE,,71,71,HSLE,Control,20180413,
SERC,HSLE,,72,72,HSLE,Control,20180413,
