LI-8200,CHAMBER,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-8200,LI-7810,LI-7810,LI-7810,LI-7810
DATE_TIME initial_value,TA initial_value,TS_1 initial_value,EC_2 initial_value,SWC_2 initial_value,COLLAR_HEIGHT,LABEL,FCH4_DRY LIN,FCH4_DRY LIN_R2,FCO2_DRY LIN,FCO2_DRY LIN_R2
[YYYY-MM-DD HH:MM:SS],[C],[C],[S+1m-1],[m+3m-3],[cm],[#],[umol+1m-2s-1],[#],[umol+1m-2s-1],[#]
2022/05/11 09:54:04,17.558750,-9999.000000,0.000000,0.092000,6.880000,30,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2022/05/11 09:55:29,17.360430,-9999.000000,0.000000,0.097000,6.880000,30,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2022/05/11 09:57:54,17.406170,-9999.000000,0.000000,0.000000,9.380000,2,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2022/05/11 09:59:18,17.123030,-9999.000000,0.000000,0.000000,9.380000,2,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2022/05/11 10:02:47,17.581570,-9999.000000,0.000000,0.063000,9.380000,2-2,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2022/05/11 10:04:12,17.133910,-9999.000000,0.000000,0.064680,9.380000,2-2,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2022/05/11 10:13:00,17.526350,-9999.000000,0.000000,0.048000,9.380000,2-3,-0.041210,0.087300,1.365650,0.806070
2022/05/11 10:14:25,17.074720,-9999.000000,0.000000,0.040000,9.380000,2-3,-0.069790,0.348910,1.243810,0.863680
2022/05/11 10:16:32,17.602810,-9999.000000,0.000000,0.000000,8.630000,64,0.084820,0.214060,0.824850,0.610860
2022/05/11 10:17:58,17.697890,-9999.000000,0.000000,0.039000,8.630000,64,0.030030,0.048650,0.832270,0.608660
2022/05/11 10:20:06,17.480330,-9999.000000,0.000000,0.000000,7.380000,72,0.213030,0.687520,1.422070,0.772370
2022/05/11 10:21:31,17.269850,-9999.000000,0.000000,0.039000,7.380000,72,0.216180,0.733200,1.173760,0.729880
