"","Collar","P","k","k0","mass","sm","umolPg","umolKg","logP","rtK","jempty","jfresh","jdry","Reps","date","Origin","Location","Experiment","timestamp","FCH4","FCO2","SWC","TA","TS"
"1",2,6.98970791710633,-15.8411715000104,-14.2994581007737,21.04,1.04420152091255,14.8298745921876,-33.6097859201741,1.81177518149842,9.89089857354667,127.55,170.56,148.59,1,"2022-07-29","g_low","g_low","Salinity transplant","2022-07-29 10:47:00",0.1397,6.64032,0.45682,25.31221,24.7
"2",3,17.1180000813427,1e-05,-17.3703576899741,29.47,0.600610790634543,25.9296750468659,1.51476077366814e-05,1.88041154124951,10.4369380110675,129.3,176.47,158.77,1,"2022-07-29","g_low","g_low","Salinity transplant","2022-07-29 10:07:00",-0.24324,12.31845,0,25.25119,25.09
"3",4,33.2287883583022,-18.8699193970397,-3.97114337197776,17.55,1.0039886039886,84.5204052600917,-47.9973334406753,2.12878816701278,12.9429674055099,122.91,158.08,140.46,1,"2022-07-29","g_low","g_low","Salinity transplant","2022-07-29 10:53:00",0.20697,8.86634,0.521,25.43345,24.796
"4",17,14.9254502999295,-14.9763728137886,-11.6715697436785,29.44,0.645720108695653,22.6315251830453,-22.7087392122121,1.86112516396899,10.2777198435765,126.7,175.15,156.14,1,"2022-07-29","midstream","g_low","Salinity transplant","2022-07-29 10:38:00",12.32089,3.408,0.523,25.36259,25.1
"5",18,9.67408951281151,1e-05,-12.6225282534395,33.45,0.564125560538117,12.9103544350346,1.33452914798206e-05,1.79872213199388,9.79338319657893,124.33,176.65,157.78,1,"2022-07-29","midstream","g_low","Salinity transplant","2022-07-29 10:21:00",0.45276,6.15028,0.42784,25.26706,24.9
"6",19,33.0230184954638,-1.82207805435677,-18.3929215524678,19.14,1.02246603970742,77.0192030113639,-4.2496115123556,2.10386938340815,12.6498696835724,123.93,162.64,143.07,1,"2022-07-29","midstream","g_low","Salinity transplant","2022-07-29 10:41:00",20.96029,6.6472,0.427,25.39099,24.862
"7",20,28.0209962437477,-17.0253223795687,-14.220987776684,24.54,0.892828035859821,50.9721789861817,-30.9702685828829,2.00420172846397,11.5746351556402,127.68,174.13,152.22,1,"2022-07-29","midstream","g_low","Salinity transplant","2022-07-29 11:14:00",0.63225,3.09306,0.3059,25.78971,25.6
"8",29,54.7826489879068,-44.6084328504248,-10.7011606834295,30.09,1.06380857427717,81.2727634037939,-66.1788116464926,2.11817462760914,12.8168936721732,128.07,190.17,158.16,2,"2022-07-29","upstream","g_low","Salinity transplant","2022-07-29 12:21:00",2349.96552,1.67677,0.62106,27.35029,26.32475
"9",30,10.9194248635094,-0.65957914539242,-8.42630999637362,24.23,0.903425505571606,20.1173390799447,-1.21517181388022,1.84582542646306,10.1546708011607,123.21,169.33,147.44,2,"2022-07-29","upstream","g_low","Salinity transplant","2022-07-29 11:11:00",0.72547,5.65384,0.38064,25.78832,25.4
"10",31,14.8896145314742,-2.05079605733693,-15.1029237041745,37.7,0.487267904509284,17.6305674452257,-2.42831660476182,1.83014303133036,10.0314788264356,123.19,179.26,160.89,1,"2022-07-29","upstream","g_low","Salinity transplant","2022-07-29 10:03:00",-0.50438,11.83214,0.12132,25.10589,24.9
"11",32,8.07107624459793,1e-05,-13.7576911845977,18.7,1.29839572192513,19.2669969817568,2.38716577540107e-05,1.84052635953632,10.1127146198119,123.65,166.63,142.35,1,"2022-07-29","upstream","g_low","Salinity transplant","2022-07-29 10:25:00",2.19433,4.81601,0.491,25.31799,24.9
"12",41,0,-39.0371895614823,-14.1988346784371,30.16,0.548740053050398,0,-57.7791824278704,1.69897000433602,9.1104335791443,125.19,171.9,155.35,1,"2022-07-27","g_low","g_up","Elevation transplant","2022-07-27 12:01:00",-0.73069,9.74925,0.449,25.69601,25.741
"13",42,40.1114466147655,-36.384884023,-14.8047505204683,30.84,0.508754863813229,58.0601484073648,-52.6660578076109,2.03366555965381,11.876874521833,129.79,176.32,160.63,1,"2022-07-27","g_low","g_up","Elevation transplant","2022-07-27 11:54:00",-1.13628,13.74569,0.37253,25.68038,25.566
"14",43,37.0644298616671,-15.7146004615774,-17.0085506213806,28.29,0.762106751502298,58.4855478623124,-24.7967396466884,2.03537188655599,11.8947697692016,123.23,173.08,151.52,1,"2022-07-27","g_low","g_up","Elevation transplant","2022-07-27 11:03:00",-0.51216,9.51054,0.3951,26.24808,25.9
"15",44,0,-5.43625154394731,-12.5542042128004,27.45,0.622950819672131,0,-8.8405926747471,1.69897000433602,9.1104335791443,127.01,171.56,154.46,1,"2022-07-27","g_low","g_up","Elevation transplant","2022-07-27 11:29:00",-0.76357,10.60705,0.42066,25.7787,25.6
"16",49,39.329487731212,-40.1763767407511,-7.8034372999414,29.82,0.82562038900067,58.8755309296212,-60.1433084408829,2.03693028585032,11.9111515366744,122.95,177.39,152.77,1,"2022-07-29","g_mid","g_low","Elevation transplant","2022-07-29 10:17:00",1280.28177,0.55147,0.63325,25.06164,24.95
"17",50,57.9693768491637,-57.0370364818044,-12.6694942569664,30.73,0.793686950862349,84.2093388397874,-82.8549726178896,2.12778273688718,12.9309450095415,127.17,182.29,157.9,1,"2022-07-29","g_mid","g_low","Elevation transplant","2022-07-29 10:57:00",1251.41816,1.64598,0.56001,25.48118,24.9
"18",51,5.93141901497919,-14.3809056630397,-15.7359938489274,16.35,1.34923547400612,16.1944064115395,-39.2638305075286,1.82082129204938,9.95963886953435,122.3,160.71,138.65,1,"2022-07-29","g_mid","g_low","Elevation transplant","2022-07-29 09:56:00",102.06522,5.13888,0.518,24.69491,24.9
