"","id","P","k","k0","ml_k","net"
"1","17",14.9255955569822,-14.9767616287647,-28.3268621356982,-44.930284886294,-30.0046893293119
"2","18",0,-81.2054564908982,-32.7247544667707,-243.616369472695,-243.616369472695
"3","19",24.7230529536524,-125.772299678918,-66.5261441704772,-377.316899036753,-352.593846083101
"4","2",3.44476219541528,-26.8782022533933,-75.5651634531142,-80.6346067601798,-77.1898445647645
"5","20",28.0208956224435,-17.0252041743088,-40.1633468526766,-51.0756125229264,-23.0547169004829
"6","29",54.7838289348018,-44.6111119303675,-49.056384976037,-133.833335791103,-79.0495068563008
"7","3",0,-89.3498638601203,-63.3607698316171,-268.049591580361,-268.049591580361
"8","30",3.07171588195221,-49.5646259665119,-28.9813215304528,-148.693877899536,-145.622162017584
"9","31",4.32696996133506,-83.1981162697504,-47.0806378734509,-249.594348809251,-245.267378847916
"10","32",0,-42.0303018263444,-61.5083245148579,-126.090905479033,-126.090905479033
"11","4",33.2285662429159,-18.8697905580202,-11.241022819777,-56.6093716740606,-23.3808054311447
"12","41",0,-39.0371987706769,-55.2333900219774,-117.111596312031,-117.111596312031
"13","42",40.1116572151171,-36.3849932051848,-36.0023759827454,-109.154979615554,-69.0433224004373
"14","43",37.0630763141681,-15.7127480141571,-54.6802758823549,-47.1382440424712,-10.0751677283031
"15","44",1.70024482895869,17.7025374820527,-68.5771948931875,53.107612446158,54.8078572751167
"16","49",39.3294970854307,-40.1764118283618,-23.709111253422,-120.529235485086,-81.1997383996548
"17","50",57.9693128014429,-57.037020575998,-40.1368147259411,-171.111061727994,-113.141748926551
"18","51",5.92856763243669,-14.3940250910863,-81.019460831647,-43.1820752732588,-37.2535076408222
"19","52",0.00151616873826572,386.526473412743,386.539105275717,1159.57942023823,1159.58093640697
"20","53",27.2137334200296,-16.0870328742309,-28.2194686611983,-48.2610986226928,-21.0473652026631
"21","54",0,-58.5149087103187,-78.7555669044145,-175.544726130956,-175.544726130956
"22","55",0,-19.7623904698705,-74.1642421822193,-59.2871714096114,-59.2871714096114
"23","56",30.5599632463532,-14.3567019344935,-35.9413926993771,-43.0701058034804,-12.5101425571272
"24","58",4.65778743951218,22.6333798534439,-140.191911759581,67.9001395603317,72.5579269998439
"25","59",1.31938848584999,30.8009675424599,-66.9573614157061,92.4029026273796,93.7222911132296
"26","60",0,-26.0950478057318,-96.6921161031481,-78.2851434171954,-78.2851434171954
"27","61",1.48398574749926,-37.4036008344012,-76.2663860240044,-112.210802503204,-110.726816755704
"28","62",20.5857679239546,-36.2627234826753,-22.7549558990769,-108.788170448026,-88.2024025240713
"29","63",0,-21.0889542365841,-43.6197361926047,-63.2668627097524,-63.2668627097524
"30","64",0,-18.5309425039979,-64.6706894754462,-55.5928275119938,-55.5928275119938
"31","69",8.01097650509317,-14.9295235085237,-71.1952429902853,-44.7885705255712,-36.777594020478
"32","70",22.6583045529982,-17.8919879629919,-7.97173209362906,-53.6759638889757,-31.0176593359775
"33","71",13.1576489738285,0.561935513572902,-30.7998609763879,1.6858065407187,14.8434555145472
"34","72",20.2548886517744,-5.92025783409257,-33.6541577791449,-17.7607735022777,2.49411514949673
"35","85",21.36709136566,-22.3106917697944,-20.7298355672796,-66.9320753093832,-45.5649839437232
"36","86",0,-215.491153141097,-116.518253790035,-646.473459423291,-646.473459423291
"37","87",27.3878624827739,-16.5248141027005,-36.216000790662,-49.5744423081016,-22.1865798253277
