"","id","P","k","k0","ml_k","net"
"1","17",14.9255309093036,-14.9765169106185,-9.89807530691503,-131.793348813443,-116.867817904139
"2","18",7.29431518794538,8.10225190355667,-10.6849864017031,71.2998167512987,78.5941319392441
"3","19",33.0211172967384,-1.82060967081157,-15.3696029333614,-16.0213651031418,16.9997521935966
"4","2",7.17850884117338,-14.7921487608142,-13.3742496256414,-130.170909095165,-122.992400253992
"5","20",28.0210440699676,-17.0254287074538,-11.9120864577933,-149.823772625594,-121.802728555626
"6","29",54.7819870515087,-44.6075601058409,-8.62126871107683,-392.5465289314,-337.764541879892
"7","3",10.8449835465416,12.2708553186383,-15.038249386658,107.983526804017,118.828510350558
"8","30",10.9194281208055,-0.659584578154894,-7.25181271337897,-5.80434428776307,5.11508383304242
"9","31",14.8896105392781,-2.05091107956139,-13.0938675070446,-18.0480175001402,-3.15840696086213
"10","32",7.343008806494,4.27241656665777,-12.6027649842278,37.5972657865884,44.9402745930824
"11","4",33.2285565078224,-18.8697628702848,-3.21898002248297,-166.053913258506,-132.825356750684
"12","41",3.60807801352499,17.292089289851,-12.8756723230013,152.170385750689,155.778463764214
"13","42",40.1114429832647,-36.3848820974692,-12.8827934285715,-320.186962457729,-280.075519474464
"14","43",37.0632575752064,-15.7127731151786,-14.7112408982755,-138.272403413572,-101.209145838365
"15","44",0,-5.43625120033675,-12.138199553046,-47.8390105629634,-47.8390105629634
"16","49",39.3294938656263,-40.1763971223025,-5.8907067466856,-353.552294676262,-314.222800810635
"17","50",57.9695511550985,-57.0375631084823,-10.2605850445837,-501.930555354644,-443.961004199546
"18","51",5.93015750998387,-14.387874068489,-14.8921010265867,-126.613291802703,-120.68313429272
"19","52",93.6743675081788,-39.3780457209743,11.9730570740736,-346.526802344574,-252.852434836395
"20","53",27.2136975383677,-16.0869678095569,-9.29800401734339,-141.565316724101,-114.351619185733
"21","54",0,-58.5149065761243,-19.4820546547262,-514.931177869894,-514.931177869894
"22","55",0,-19.7623906963761,-13.0564505937943,-173.90903812811,-173.90903812811
"23","56",30.5602060056347,-14.3567281046626,-12.1244707964563,-126.339207321031,-95.779001315396
"24","58",0,-6.74621287728518,-15.3755877583619,-59.3666733201096,-59.3666733201096
"25","59",0,-11.693291425324,-14.6918833967472,-102.900964542852,-102.900964542852
"26","60",0,-26.095050416566,-16.4249443609295,-229.636443665781,-229.636443665781
"27","61",9.83403253690306,1.29280773853303,-12.1852908602991,11.3767080990907,21.2107406359938
"28","62",20.5857707810276,-36.2626753843021,-8.39850570258675,-319.111543381858,-298.525772600831
"29","63",5.04572527789857,-8.76001964606719,-7.43988918525,-77.0881728853913,-72.0424476074927
"30","64",0,-18.530951751953,-8.81930619276727,-163.072375417186,-163.072375417186
"31","69",8.01104387605335,-14.9292155663088,-8.38052832411234,-131.377096983518,-123.366053107465
"32","70",22.65833384772,-17.8920498844552,-2.79663025918661,-157.450038983206,-134.791705135486
"33","71",13.1576719686502,0.561918541172423,-10.5058834742458,4.94488316231732,18.1025551309676
"34","72",20.2543403013978,-5.91923269596086,-11.2493443270665,-52.0892477244556,-31.8349074230578
"35","85",21.367058336247,-22.3105867074732,-8.31133294298383,-196.333163025764,-174.966104689517
"36","86",33.7306179846545,11.089379406792,-29.3702194535159,97.58653877977,131.317156764424
"37","87",27.3881370812132,-16.5251143485811,-12.1359708616061,-145.421006267513,-118.0328691863
