"","Timestamp","id","round","HR Delta iCH4 Mean","HR Delta iCH4 Std","Delta 13CO2 Mean","Delta 13CO2 Std","HR 12CH4 Mean","HR 13CH4 Mean"
"71",2022-07-29 21:20:00,"55","T4",212.643,10.386,-22.496,0.462,1.287,0.018
"72",2022-07-29 21:30:00,"42","T4",-52.591,14.06,-23.311,0.494,0.604,0.007
"73",2022-07-29 21:40:00,"59","T4",191.49,12.717,-25.426,0.418,0.9,0.012
"74",2022-07-29 21:49:00,"87","T4",-55.136,10.116,-22.037,0.445,0.714,0.008
"75",2022-07-30 13:10:00,"52","T0",217.629,1.68,-9.759,1.653,6.047,0.085
"76",2022-07-30 13:36:00,"69","T0",234.838,2.189,-12.808,1.442,6.12,0.086
"77",2022-07-30 13:46:00,"18","T0",192.606,5.439,-15.107,1.068,2.56,0.035
"78",2022-07-30 13:56:00,"49","T0",194.287,4.703,-11.826,1.597,2.697,0.037
"79",2022-07-30 14:05:00,"52","T1",7.817,0.573,-17.499,0.737,18.042,0.209
"80",2022-07-30 14:15:00,"69","T1",190.997,2.383,-20.482,0.633,4.852,0.066
"81",2022-07-30 14:25:00,"18","T1",119.147,7.503,-17.643,1.155,1.463,0.019
"82",2022-07-30 14:34:00,"49","T1",41.54,8.559,-14.981,1.236,1.604,0.019
"83",2022-07-30 14:44:00,"52","T2",-17.191,0.558,-18.627,0.688,23.127,0.261
"84",2022-07-30 14:57:00,"69","T2",171.651,3.87,-21.891,0.528,3.837,0.052
"85",2022-07-30 15:07:00,"18","T2",65.207,9.084,-19.945,0.871,1.104,0.014
"86",2022-07-30 15:16:00,"49","T2",-31.298,7.057,-15.63,1.144,1.419,0.016
"87",2022-07-30 15:26:00,"52","T3",-29.203,0.508,-19.129,0.573,27.547,0.308
"88",2022-07-30 15:36:00,"69","T3",151.704,2.918,-22.797,0.664,3.085,0.041
"89",2022-07-30 15:45:00,"18","T3",11.41,14.28,-20.299,0.84,0.911,0.011
"90",2022-07-30 15:55:00,"49","T3",-40.913,8.334,-16.656,1.062,1.473,0.016
"91",2022-07-30 16:05:00,"52","T4",-34.798,0.496,-19.706,0.534,29.922,0.332
"92",2022-07-30 16:15:00,"69","T4",133.08,4.572,-23.292,0.578,2.575,0.034
"93",2022-07-30 16:24:00,"18","T4",-37.743,13.625,-19.848,0.779,0.803,0.009
"94",2022-07-30 16:34:00,"49","T4",-43.703,7.86,-16.081,1.066,1.338,0.015
"95",2022-07-30 16:44:00,"61","T0",259.65,2.445,-8.478,2.065,5.744,0.083
"96",2022-07-30 16:54:00,"17","T0",185.54,4.536,-8.531,2.231,2.368,0.032
"97",2022-07-30 17:04:00,"71","T0",193.181,4.003,-11.656,1.249,2.546,0.035
"98",2022-07-30 17:13:00,"31","T0",220.753,4.095,-14.485,1.184,3.376,0.047
"99",2022-07-30 17:23:00,"61","T1",242.714,3.232,-20.177,0.739,3.667,0.052
"100",2022-07-30 17:33:00,"17","T1",117.208,9.114,-19.517,1.22,1.431,0.018
"101",2022-07-30 17:43:00,"71","T1",109.653,8.214,-18.17,1.052,1.335,0.017
"102",2022-07-30 18:02:00,"61","T2",175.777,7.827,-22.92,0.53,1.832,0.025
"103",2022-07-30 18:12:00,"31","T1",153.948,7.694,-23.333,0.585,1.529,0.02
"104",2022-07-30 18:22:00,"17","T2",41.393,13.016,-22.295,0.636,0.982,0.012
"105",2022-07-30 18:31:00,"71","T2",26.769,13.661,-20.988,0.875,0.915,0.011
"106",2022-07-30 18:41:00,"31","T2",87.844,9.987,-23.531,0.525,1.051,0.013
"107",2022-07-30 18:52:00,"61","T3",188.882,5.559,-23.784,0.508,1.895,0.026
"108",2022-07-30 19:02:00,"17","T3",-21.069,12.442,-22.692,0.623,0.836,0.009
"109",2022-07-30 19:12:00,"71","T3",-33.171,11.607,-21.176,0.802,0.788,0.009
"110",2022-07-30 19:23:00,"31","T3",31.363,11.327,-24.115,0.46,0.864,0.01
"111",2022-07-30 19:32:00,"61","T4",144.684,7.84,-23.813,0.423,1.378,0.018
"112",2022-07-30 19:42:00,"17","T4",-46.172,12.299,-22.607,0.478,0.775,0.009
"113",2022-07-30 19:52:00,"71","T4",-58.23,14.52,-20.913,0.734,0.757,0.008
"114",2022-07-30 20:02:00,"31","T4",-33.154,12.937,-23.189,0.6,0.778,0.009
"115",2022-07-30 20:12:00,"51","T0",255.088,2.462,-12.154,1.785,5.359,0.077
"116",2022-07-30 20:23:00,"29","T0",174.05,3.181,-9.123,2.136,4.174,0.056
"117",2022-07-30 20:32:00,"72","T0",191.892,4.854,-10.014,2.046,2.552,0.035
"118",2022-07-30 20:42:00,"3","T0",236.63,3.05,-12.287,1.735,4.099,0.058
"119",2022-07-30 20:52:00,"51","T1",229.054,4.898,-20.592,0.883,2.988,0.042
"120",2022-07-30 21:02:00,"29","T1",27.207,3.932,-13.614,1.323,3.136,0.037
"121",2022-07-30 21:13:00,"3","T1",208.107,5.05,-20.513,0.766,2.77,0.038
"122",2022-07-30 21:22:00,"72","T1",65.779,9.921,-20.158,0.802,1.047,0.013
"123",2022-07-30 21:32:00,"51","T2",197.101,6.611,-22.543,0.652,1.873,0.026
"124",2022-07-30 21:42:00,"29","T2",-15.985,4.225,-14.473,1.156,2.446,0.028
"125",2022-07-30 21:51:00,"72","T2",-4.603,15.234,-21.322,0.718,0.847,0.01
"126",2022-07-30 22:01:00,"3","T2",159.388,8.29,-22.976,0.57,1.639,0.022
"127",2022-07-30 22:11:00,"51","T3",173.063,9.366,-23.499,0.507,1.389,0.019
"128",2022-07-30 22:20:00,"29","T3",-35.116,5.391,-13.804,1.305,2.199,0.024
"129",2022-07-30 22:30:00,"72","T3",-55.807,12.133,-19.687,0.828,0.777,0.008
"130",2022-07-30 22:40:00,"3","T3",78.396,8.917,-22.445,0.54,1.09,0.013
"131",2022-07-30 22:49:00,"51","T4",140.871,12.344,-24.135,0.425,1.108,0.015
"132",2022-07-30 22:59:00,"29","T4",-32.412,6.744,-15.343,1.175,1.666,0.018
"133",2022-07-30 23:09:00,"72","T4",-55.721,11.866,-21.502,0.733,0.743,0.008
"134",2022-07-30 23:18:00,"3","T4",8.992,11.436,-22.524,0.577,0.871,0.01
"135",2022-07-31 12:50:00,"4","T0",215.805,3.264,-9.252,2.367,3.395,0.047
"136",2022-07-31 13:00:00,"70","T0",188.422,4.672,-8.956,1.833,2.688,0.037
"137",2022-07-31 13:10:00,"20","T0",201.574,3.662,-8.833,2.006,3.056,0.042
"138",2022-07-31 13:20:00,"50","T0",207.898,4.363,-8.364,2.422,3.245,0.045
"139",2022-07-31 13:30:00,"4","T1",96.513,8.125,-15.814,1.222,1.354,0.017
"140",2022-07-31 13:40:00,"70","T1",49.667,9.803,-15.609,1.01,1.153,0.014
"141",2022-07-31 13:50:00,"20","T1",84.615,7.633,-14.931,1.447,1.288,0.016
"142",2022-07-31 13:59:00,"50","T1",55.685,5.655,-15.046,1.351,1.683,0.02
"143",2022-07-31 14:09:00,"4","T2",9.067,11.777,-18.831,0.84,0.949,0.011
"144",2022-07-31 14:19:00,"70","T2",5.211,10.63,-17.347,1.438,0.915,0.011
"145",2022-07-31 14:28:00,"20","T2",9.997,10.598,-18.665,0.947,0.92,0.011
"146",2022-07-31 14:38:00,"50","T2",-13.621,7.707,-17.184,1.042,1.467,0.017
"147",2022-07-31 14:48:00,"4","T3",-43.522,13.191,-19.448,0.687,0.844,0.009
"148",2022-07-31 14:58:00,"70","T3",-39.408,12.867,-19.29,0.784,0.805,0.009
"149",2022-07-31 15:08:00,"20","T3",-34.519,12.296,-19.49,0.8,0.837,0.009
"150",2022-07-31 15:17:00,"50","T3",-40.448,9.697,-13.909,1.354,1.185,0.013
"151",2022-07-31 15:28:00,"4","T4",-54.529,13.566,-18.965,0.807,0.833,0.009
"152",2022-07-31 15:38:00,"70","T4",-44.184,12.95,-21.367,0.668,0.754,0.008
"153",2022-07-31 15:47:00,"20","T4",-58.78,14.647,-17.636,1.235,0.805,0.009
"154",2022-07-31 15:57:00,"50","T4",-49.406,10.944,-11.635,1.743,1.026,0.011
"155",2022-07-31 16:07:00,"62","T0",162.669,5.624,-6.859,1.832,2.053,0.027
"156",2022-07-31 16:17:00,"63","T0",256.05,2.342,-10.016,1.758,5.756,0.083
"157",2022-07-31 16:26:00,"2","T0",249.834,2.776,-10.188,2.101,5.078,0.073
"158",2022-07-31 16:36:00,"30","T0",238.253,2.696,-10.365,2.117,4.254,0.061
"159",2022-07-31 16:46:00,"62","T1",44.889,10.708,-13.944,1.421,1.1,0.013
"160",2022-07-31 16:56:00,"63","T1",250.257,2.383,-22.687,0.578,4.122,0.059
"161",2022-07-31 17:06:00,"2","T1",236.33,4.1,-20.561,0.641,3.474,0.049
"162",2022-07-31 17:15:00,"30","T1",215.241,4.628,-21.667,0.786,2.676,0.037
"163",2022-07-31 17:25:00,"62","T2",-10.489,12.102,-14.865,1.465,0.89,0.01
"164",2022-07-31 17:35:00,"63","T2",238.677,3.83,-24.752,0.584,3.135,0.045
"165",2022-07-31 17:44:00,"2","T2",213.701,4.804,-22.473,0.603,2.315,0.032
"166",2022-07-31 17:54:00,"30","T2",182.199,8.041,-23.491,0.567,1.806,0.025
"167",2022-07-31 18:04:00,"62","T3",-49.267,14.383,-16.171,1.131,0.812,0.009
"168",2022-07-31 18:14:00,"63","T3",227.795,5.268,-25.681,0.384,2.425,0.034
"169",2022-07-31 18:23:00,"2","T3",185.485,8.068,-23.566,0.506,1.694,0.023
"170",2022-07-31 18:33:00,"30","T3",136.974,10.155,-24.087,0.616,1.312,0.017
"171",2022-07-31 18:43:00,"62","T4",-57.977,12.25,-17.306,1.163,0.822,0.009
"172",2022-07-31 18:53:00,"63","T4",210.065,6.022,-26.124,0.392,1.884,0.026
"173",2022-07-31 19:03:00,"2","T4",149.68,9,-23.839,0.508,1.267,0.017
"174",2022-07-31 19:13:00,"30","T4",69.017,12.124,-23.837,0.495,0.956,0.012
"175",2022-07-31 19:23:00,"64","T0",253.802,1.969,-8.891,1.765,5.351,0.077
"176",2022-07-31 19:33:00,"19","T0",242.07,2.727,-7.23,2.104,4.571,0.065
"177",2022-07-31 19:43:00,"32","T0",238.752,3.001,-8.18,2.067,4.265,0.061
"178",2022-07-31 19:52:00,"4","T5",-52.288,12.074,-20.021,0.652,0.838,0.009
"179",2022-07-31 20:02:00,"64","T1",246.246,3.169,-19.621,0.776,4.201,0.06
"180",2022-07-31 20:11:00,"19","T1",146.57,7.258,-13.707,1.979,1.673,0.022
"181",2022-07-31 20:21:00,"32","T1",213.123,4.631,-15.669,1.425,2.852,0.04
"182",2022-07-31 20:31:00,"70","T5",-45.617,12.003,-24.049,0.497,0.734,0.008
"183",2022-07-31 20:41:00,"64","T2",241.439,4.677,-22.462,0.538,3.362,0.048
"184",2022-07-31 20:50:00,"19","T2",46.376,11.267,-16.865,1.191,1.003,0.012
"185",2022-07-31 21:01:00,"32","T2",200.909,5.367,-19.334,0.827,2.102,0.029
"186",2022-07-31 21:10:00,"63","T5",148.784,10.486,-26.44,0.252,1.3,0.017
"187",2022-07-31 21:20:00,"64","T3",222.957,4.585,-23.472,0.447,2.661,0.037
"188",2022-07-31 21:30:00,"19","T3",-5.9,14.489,-19.155,0.88,0.876,0.01
"189",2022-07-31 21:39:00,"32","T3",159.066,8.78,-20.077,1.113,1.511,0.02
"190",2022-07-31 21:49:00,"30","T5",-30.166,11.383,-23.968,0.431,0.866,0.01
"191",2022-07-31 21:59:00,"64","T4",211.288,6.395,-24.303,0.591,2.181,0.03
"192",2022-07-31 22:08:00,"19","T4",-49.218,13.921,-17.744,1.23,0.848,0.009
"193",2022-07-31 22:18:00,"32","T4",97.48,10.638,-20.152,0.769,1.149,0.015
