"","Timestamp","id","round","HR Delta iCH4 Mean","HR Delta iCH4 Std","Delta 13CO2 Mean","Delta 13CO2 Std","HR 12CH4 Mean","HR 13CH4 Mean"
"1",2022-07-28 12:51:00,"41","T0",317.301,2.552,-12.215,1.774,4.578,0.069
"2",2022-07-28 13:01:00,"85","T0",174.846,5.361,-11.408,1.936,2.245,0.03
"3",2022-07-28 13:13:00,"44","T0",259.103,2.182,-12.651,1.655,5.696,0.082
"4",2022-07-28 13:23:00,"53","T0",201.378,5.248,-11.952,1.668,2.856,0.04
"5",2022-07-28 13:33:00,"41","T1",302.29,3.792,-22.65,0.673,2.921,0.044
"6",2022-07-28 13:44:00,"85","T1",64.372,13.202,-21.291,0.709,1.028,0.013
"7",2022-07-28 13:54:00,"44","T1",255.005,3.314,-23.762,0.587,3.897,0.056
"8",2022-07-28 14:05:00,"53","T1",105.65,8.991,-18.95,0.928,1.357,0.017
"9",2022-07-28 14:15:00,"41","T2",276.525,5.397,-24.77,0.463,1.946,0.029
"10",2022-07-28 14:24:00,"85","T2",-20.297,15.728,-22.902,0.601,0.747,0.008
"11",2022-07-28 14:35:00,"44","T2",255.648,4.436,-25.266,0.397,2.783,0.04
"12",2022-07-28 14:45:00,"53","T2",18.799,11.976,-20.671,0.829,0.925,0.011
"13",2022-07-28 14:56:00,"41","T3",239.814,9.357,-25.345,0.355,1.344,0.019
"14",2022-07-28 15:06:00,"85","T3",-51.196,17.033,-23.049,0.658,0.681,0.007
"15",2022-07-28 15:15:00,"44","T3",249.859,6.137,-25.816,0.398,2.025,0.029
"16",2022-07-28 15:25:00,"53","T3",-44.067,13.522,-20.161,0.85,0.8,0.009
"17",2022-07-28 15:36:00,"41","T4",210.204,13.91,-25.631,0.408,0.989,0.014
"18",2022-07-28 15:46:00,"85","T4",-62.909,14.684,-23.521,0.469,0.635,0.007
"19",2022-07-28 15:56:00,"44","T4",246.873,8.13,-26.046,0.344,1.44,0.021
"20",2022-07-28 16:06:00,"53","T4",-59.014,10.281,-21.313,0.706,0.736,0.008
"21",2022-07-28 16:16:00,"41","T5",135.331,11.48,-25.846,0.337,0.781,0.01
"22",2022-07-28 16:26:00,"85","T5",-55.67,16.949,-23.154,0.456,0.633,0.007
"23",2022-07-28 16:35:00,"44","T5",234.536,11.195,-26.224,0.316,1.086,0.015
"24",2022-07-28 16:45:00,"53","T5",-68.818,15.007,-19.787,0.875,0.741,0.008
"25",2022-07-28 17:16:00,"54","T0",258.349,2.612,-17.437,0.99,5.156,0.075
"26",2022-07-28 17:26:00,"60","T0",265.162,2.077,-14.92,1.303,6.274,0.091
"27",2022-07-28 17:36:00,"43","T0",240.286,2.902,-14.395,1.318,4.089,0.058
"28",2022-07-28 17:45:00,"56","T0",205.701,4.273,-12.992,1.344,2.904,0.04
"29",2022-07-28 17:55:00,"54","T1",238.583,5.354,-23.973,0.558,2.342,0.033
"30",2022-07-28 18:05:00,"60","T1",259.359,3.319,-23.456,0.412,4.187,0.061
"31",2022-07-28 18:15:00,"43","T1",149.922,7.537,-21.467,0.795,1.599,0.021
"32",2022-07-28 18:25:00,"56","T1",118.241,11.206,-21.786,0.555,1.177,0.015
"33",2022-07-28 18:44:00,"54","T2",211.332,9.744,-25.43,0.459,1.125,0.016
"34",2022-07-28 18:54:00,"60","T2",233.896,5.554,-24.555,0.479,2.277,0.032
"35",2022-07-28 19:04:00,"43","T2",54.765,14.22,-23.486,0.52,0.92,0.011
"36",2022-07-28 19:14:00,"56","T2",-17.138,14.075,-22.663,0.523,0.735,0.008
"37",2022-07-28 19:23:00,"54","T3",126.458,17.091,-25.37,0.444,0.71,0.009
"38",2022-07-28 19:34:00,"60","T3",214.014,8.492,-25.027,0.353,1.468,0.021
"39",2022-07-28 19:45:00,"43","T3",-22.944,13.177,-23.849,0.548,0.746,0.008
"40",2022-07-28 19:55:00,"56","T3",-58.37,17.232,-22.256,0.462,0.674,0.007
"41",2022-07-28 20:06:00,"54","T4",17.492,17.192,-25.466,0.42,0.556,0.007
"42",2022-07-28 20:16:00,"60","T4",154.82,14.09,-25.155,0.443,0.985,0.013
"43",2022-07-28 20:29:00,"43","T4",-45.353,15.688,-24.4,0.427,0.688,0.008
"44",2022-07-28 20:39:00,"56","T4",-60.685,16.12,-23.284,0.475,0.65,0.007
"45",2022-07-28 21:26:00,"86","T0",236.758,3.366,-13.275,1.482,4.004,0.057
"46",2022-07-28 21:36:00,"58","T0",264.773,2.186,-13.775,1.442,6.38,0.092
"47",2022-07-28 21:46:00,"86","T1",166.807,7.218,-19.924,0.932,1.837,0.025
"48",2022-07-28 21:55:00,"58","T1",262.642,2.184,-22.071,0.609,5.024,0.073
"49",2022-07-28 22:06:00,"86","T2",101.608,11.14,-20.928,0.669,1.193,0.015
"50",2022-07-28 22:16:00,"58","T2",257.269,3.084,-23.674,0.527,4.234,0.061
"51",2022-07-28 22:26:00,"86","T3",37.194,11.968,-21.799,0.595,0.922,0.011
"52",2022-07-28 22:35:00,"58","T3",255.21,3.559,-24.532,0.461,3.426,0.049
"53",2022-07-28 22:45:00,"86","T4",-28.343,13.042,-20.903,0.622,0.81,0.009
"54",2022-07-28 22:55:00,"58","T4",253.119,4.359,-25.027,0.391,2.87,0.041
"55",2022-07-29 18:38:00,"55","T0",262.937,2.555,-9.439,1.649,5.028,0.073
"56",2022-07-29 18:48:00,"42","T0",190.229,4.643,-16.275,0.918,2.676,0.037
"57",2022-07-29 18:58:00,"59","T0",243.451,3.056,-17.374,1.223,4.438,0.063
"58",2022-07-29 19:07:00,"87","T0",195.069,4.581,-12.435,1.27,2.753,0.038
"59",2022-07-29 19:22:00,"55","T1",254.921,3.801,-18.291,0.631,3.634,0.053
"60",2022-07-29 19:32:00,"42","T1",34.789,10.064,-17.471,0.994,1.009,0.012
"61",2022-07-29 19:42:00,"59","T1",236.691,5.61,-24.011,0.516,2.714,0.039
"62",2022-07-29 19:51:00,"87","T1",79.17,9.747,-21.116,0.572,1.109,0.014
"63",2022-07-29 20:01:00,"55","T2",237.2,6.031,-20.476,0.546,2.258,0.032
"64",2022-07-29 20:11:00,"42","T2",-19.29,15.033,-21.961,0.544,0.748,0.008
"65",2022-07-29 20:21:00,"59","T2",227.233,6.912,-24.898,0.447,1.822,0.026
"66",2022-07-29 20:31:00,"87","T2",3.333,13.788,-22.331,0.448,0.791,0.009
"67",2022-07-29 20:40:00,"55","T3",225.356,7.439,-21.779,0.573,1.665,0.023
"68",2022-07-29 20:50:00,"42","T3",-47.746,15.699,-22.782,0.602,0.65,0.007
"69",2022-07-29 21:00:00,"59","T3",211.167,10.305,-25.289,0.326,1.261,0.018
"70",2022-07-29 21:10:00,"87","T3",-36.399,15.519,-22.921,0.476,0.667,0.007
