"","id","P","k","k0"
"1","17",14.9254502999295,-14.9763728137886,-11.6715697436785
"2","18",9.67408951281151,1e-05,-12.6225282534395
"3","19",33.0230184954638,-1.82207805435677,-18.3929215524678
"4","2",6.98970791710633,-15.8411715000104,-14.2994581007737
"5","20",28.0209962437477,-17.0253223795687,-14.220987776684
"6","29",54.7826489879068,-44.6084328504248,-10.7011606834295
"7","3",17.1180000813427,1e-05,-17.3703576899741
"8","30",10.9194248635094,-0.65957914539242,-8.42630999637362
"9","31",14.8896145314742,-2.05079605733693,-15.1029237041745
"10","32",8.07107624459793,1e-05,-13.7576911845977
"11","4",33.2287883583022,-18.8699193970397,-3.97114337197776
"12","41",0,-39.0371895614823,-14.1988346784371
"13","42",40.1114466147655,-36.384884023,-14.8047505204683
"14","43",37.0644298616671,-15.7146004615774,-17.0085506213806
"15","44",0,-5.43625154394731,-12.5542042128004
"16","49",39.329487731212,-40.1763767407511,-7.8034372999414
"17","50",57.9693768491637,-57.0370364818044,-12.6694942569664
"18","51",5.93141901497919,-14.3809056630397,-15.7359938489274
"19","52",93.6737345062379,-39.3777987483796,10.4298622406801
"20","53",27.2151373190235,-16.0884125627701,-11.3237899780691
"21","54",0,-58.5149056829206,-21.2020555826918
"22","55",0,-19.7623904930107,-13.7848736585626
"23","56",30.5605315454492,-14.357171983946,-14.6941555109946
"24","58",0,-6.74621291931358,-15.9432008751417
"25","59",0,-11.6932468718182,-15.4616552315404
"26","60",0,-26.0950639932546,-17.4614908424945
"27","61",10.1259123580969,1e-05,-13.2259318520133
"28","62",20.5858219700587,-36.263312314743,-10.1736891217928
"29","63",0,-21.0889407029777,-8.09715045930677
"30","64",0,-18.5309418462824,-9.43407231488312
"31","69",8.0111312129264,-14.9294469419871,-9.08785197695788
"32","70",22.658345721772,-17.8920553521781,-3.4190225733781
"33","71",13.4316205507023,1e-05,-12.8834990614161
"34","72",20.2551185853856,-5.92067447064088,-14.029570691766
"35","85",21.3670623253966,-22.3106017850268,-9.90697560900823
"36","86",41.1340178124609,1e-05,-34.5646778530089
"37","87",27.3874700363218,-16.5233259775656,-14.5682239972133
