Collar,Rep,datetime,FCH4,r2,ts_2,SWC
6,2,1/14/2020 15:21,-0.47034,0.31244,9.5,0
6,2,1/14/2020 15:22,-0.58441,0.33241,9.5,0
57,3,1/31/2020 11:32,-0.32456,0.94039,9.3,0.06
57,33,1/31/2020 11:33,-0.31017,0.92972,9.1,0.049
57,2,1/31/2020 11:22,-9999,-9999,12.7,0.325
57,2,1/31/2020 11:24,-9999,-9999,12.05455,0.327
52,2,1/17/2020 11:41,-0.11517,0.54126,4,0.006
52,2,1/17/2020 11:42,-0.15588,0.55782,4,0.004
39,2,1/30/2020 16:04,-0.70606,0.95064,8,0
39,2,1/30/2020 16:05,-0.63714,0.96295,7.7,0
37,2,2/20/2020 13:29,-1.54939,0.98789,7.7,0
37,2,2/20/2020 13:31,-1.37158,0.99199,7.3,0
22,2,2/21/2020 10:43,-0.03702,0.13453,6.1,0.391
22,2,2/21/2020 10:44,-0.04337,0.07856,6.1,0.42
124,1,1/24/2020 16:14,-1.93208,0.99383,9.3,0
124,1,1/24/2020 16:15,0,0,9.5,0
124,1,2/21/2020 12:02,-0.95144,0.98359,6.22727,0
124,1,2/21/2020 12:03,-0.98178,0.99121,6.1,0
124,1,3/26/2020 11:12,-0.55532,0.96668,13.4,0
124,1,3/26/2020 11:14,-0.88882,0.99138,13.4,0
124,1,5/20/2020 11:34,-1.92917,0.99455,13.8,0.086
124,1,5/20/2020 11:35,-1.96707,0.99588,13.8,0.315
123,1,1/24/2020 16:21,-2.40328,0.9938,9.6,0
123,1,1/24/2020 16:22,-2.41945,0.98974,9.6,0
123,1,2/21/2020 12:08,-1.68844,0.98121,6.5,0
123,1,2/21/2020 12:10,-1.68396,0.99043,6.3,0
123,1,3/26/2020 11:06,-1.72583,0.98839,13.4,0
123,1,3/26/2020 11:07,-1.45937,0.97947,13.5,0
123,1,5/20/2020 11:41,-2.68331,0.98913,13.8,0.294
123,1,5/20/2020 11:42,-2.36011,0.99534,14,0.294
122,1,1/24/2020 16:17,-4.34538,0.96838,9.6,0
122,1,1/24/2020 16:19,-2.91208,0.99181,9.6,0
122,1,2/21/2020 12:05,0,0,6.1,0
122,1,2/21/2020 12:06,-1.91652,0.98875,6.1,0
122,1,3/26/2020 11:09,-1.68246,0.97158,13.7,0
122,1,3/26/2020 11:11,-1.51446,0.99343,13.7,0
122,1,5/20/2020 11:37,-2.90533,0.99625,13.8,0.33023
122,1,5/20/2020 11:39,-2.53714,0.99872,13.8,0.248
121,1,1/24/2020 16:10,-1.39281,0.97869,9.5,0
121,1,1/24/2020 16:12,0,0,9.3,0
121,1,2/21/2020 11:58,-1.08103,0.98307,6.5,0
121,1,2/21/2020 12:00,-1.16311,0.98847,6.28182,0
121,1,3/26/2020 11:16,-0.83727,0.97661,13.3,0
121,1,3/26/2020 11:17,-0.87186,0.95574,13.5,0
121,1,5/20/2020 11:31,-1.76167,0.98725,13.7,0.256
121,1,5/20/2020 11:32,0,0,13.7,0.255
120,1,1/24/2020 16:03,-1.834,0.97834,10.1,0
120,1,1/24/2020 16:04,-1.26415,0.98473,9.9,0
