Collar,Rep,datetime,FCH4,r2,ts_2,SWC
109,,11/20/2019 15:37,-3.1192,0.99056,11.71364,-0.00055
109,,11/20/2019 15:39,-2.42547,0.99652,11.6,0.004
109,,12/19/2019 11:57,-1.26501,0.97406,6.1,0
109,,12/19/2019 11:58,0,0,5.98182,0
108,,11/6/2019 15:47,-1.78888,0.97896,12.4,0.023
108,,11/6/2019 15:49,-1.34334,0.98968,12.4,0.024
108,,11/21/2019 14:05,-1.27149,0.98864,11,0.01
108,,11/21/2019 14:06,-1.27497,0.98777,10.8,0.008
108,,12/20/2019 10:17,-0.61174,0.97349,0.6,0
108,,12/20/2019 10:19,-0.64258,0.97295,0.6,0
107,,6/14/2019 13:48,-9999,-9999,19.5,0.398
107,,6/14/2019 13:50,-9999,-9999,19.7,0.404
107,,11/6/2019 15:21,-0.8549,0.9725,12.8,0
107,,11/6/2019 15:22,-0.82909,0.98304,12.8,0.03
107,,11/21/2019 13:42,-0.55553,0.94023,11.1,0
107,,11/21/2019 13:44,-0.68647,0.97008,11.2,0.009
107,,12/20/2019 10:38,-0.19979,0.77712,0.4,0
107,,12/20/2019 10:40,-0.31263,0.89419,0.4,0
106,,6/14/2019 13:03,-9999,-9999,18.8,0.459
106,,6/14/2019 13:05,-9999,-9999,18.8,0.459
106,,11/6/2019 14:43,-1.19818,0.98616,13.1,0.018
106,,11/6/2019 14:44,-1.15244,0.99149,13.1,0.01745
106,,11/21/2019 13:00,-1.15293,0.98473,11.1,-0.00114
106,,11/21/2019 13:02,-1.06748,0.98618,11.1,0.007
106,,12/20/2019 9:45,-0.47218,0.95817,7.7,0
106,,12/20/2019 9:47,-0.61012,0.97815,6.5,0.016
105,,6/14/2019 14:19,-9999,-9999,19.3,0
105,,6/14/2019 14:21,-9999,-9999,19.43636,0.456
105,,11/6/2019 15:03,-1.85233,0.99323,12.8,0
105,,11/6/2019 15:04,-1.70213,0.99624,12.8,0.02323
105,,11/21/2019 13:22,-1.08558,0.97905,11,0.004
105,,11/21/2019 13:24,-1.13325,0.9814,10.8,0.004
105,,12/20/2019 10:03,-0.59602,0.96414,1.71364,0
105,,12/20/2019 10:05,-0.81978,0.99062,1.4,0
104,,6/14/2019 11:40,-9999,-9999,17.7,0.511
104,,6/14/2019 11:42,-9999,-9999,17.7,0.511
104,,11/6/2019 14:17,-1.90479,0.99386,13.3,0.022
104,,11/6/2019 14:18,-1.54118,0.98856,13.5,0.029
104,,11/21/2019 12:40,-2.05315,0.97995,11.1,0
104,,11/21/2019 12:41,-1.67937,0.98496,11.1,0
103,,6/14/2019 10:18,-9999,-9999,18,0
103,,6/14/2019 10:19,-9999,-9999,17.9,0.436
103,,11/6/2019 13:38,-1.71311,0.98869,13.1,0.047
103,,11/6/2019 13:39,-1.62069,0.99323,13.1,0.048
103,,11/21/2019 12:01,-1.29643,0.98434,12.8,0.008
103,,11/21/2019 12:03,-1.31924,0.96576,12.6,0.008
102,,6/14/2019 10:27,-9999,-9999,17.9,0
102,,6/14/2019 10:28,-9999,-9999,17.7,0.435
102,,11/6/2019 13:53,-2.47889,0.97972,12.7,0
102,,11/6/2019 13:55,-1.94053,0.99372,12.6,0.022
102,,11/21/2019 12:16,-1.55655,0.98648,11.1,0
102,,11/21/2019 12:18,-1.42838,0.9882,11.1,0.009
101,,6/14/2019 10:45,-9999,-9999,17.9,0.398
101,,6/14/2019 10:47,-9999,-9999,17.9,0.40336
101,,11/6/2019 13:10,-9999,-9999,13.4,0
101,,11/6/2019 13:11,-9999,-9999,13.4,0.02605
101,,11/18/2019 14:44,-2.12465,0.97554,10.6,0.011
101,,11/18/2019 14:45,-1.58574,0.99203,10.65455,0.011
100,,11/4/2019 11:55,-0.0858,0.3324,18.4,0.378
100,,11/4/2019 11:56,-0.08937,0.36917,18.2,0.382
100,,11/20/2019 11:26,-0.02243,0.03952,11.5,0.019
100,,11/20/2019 11:27,-0.01324,0.00991,11.48636,0.019
100,,12/19/2019 14:03,-0.08831,0.30299,5.18636,0
100,,12/19/2019 14:04,0,0,5.3,0
99,,11/4/2019 11:50,0.22167,0.82138,18.4,0.287
99,,11/4/2019 11:52,0.13181,0.55475,18.4,0.288
99,,11/20/2019 11:21,0.35525,0.87344,11.5,0.019
99,,11/20/2019 11:23,0.33216,0.8581,11.5,0.016
99,,12/19/2019 14:13,-0.07893,0.26367,5.1,0
99,,12/19/2019 14:14,-0.05881,0.17977,5.1,0
98,,11/4/2019 11:29,-0.09292,0.45979,18.8,0.674
98,,11/4/2019 11:31,-0.03388,0.11082,18.8,0.633
98,,11/20/2019 10:37,-9999,-9999,13.1,0.484
98,,11/20/2019 10:38,-9999,-9999,12.82273,0.54768
97,,11/4/2019 12:22,-0.41861,0.91893,17.5,0
97,,11/4/2019 12:24,-0.3343,0.89046,17.5,0
97,,11/20/2019 11:52,-0.24236,0.75451,13,0.199
97,,11/20/2019 11:53,-0.27136,0.88113,13,0.198
97,,12/19/2019 13:49,-0.13191,0.65964,5.5,0.002
97,,12/19/2019 13:51,-0.12836,0.52259,5.4,0.002
96,,6/7/2019 11:45,-9999,-9999,21.9,0
96,,6/7/2019 11:46,-9999,-9999,21.9,0.301
96,,11/4/2019 15:29,-0.00727,0.00765,15.22727,0.18577
96,,11/4/2019 15:31,0.02504,0.09082,15,0.298
96,,11/20/2019 15:13,-0.03116,0.08422,12.1,0
96,,11/20/2019 15:14,0.14299,0.63717,12,0.004
96,,12/19/2019 12:54,-0.00621,0.00357,7.1,0
96,,12/19/2019 12:55,-0.08303,0.24456,6.9,0
95,,6/7/2019 12:03,-9999,-9999,22.4,0.198
95,,6/7/2019 12:05,-9999,-9999,22.6,0.197
95,,11/4/2019 15:47,-1.77218,0.99027,14.7,0.148
95,,11/4/2019 15:49,-1.71725,0.98411,14.7,0.154
95,,11/20/2019 15:29,-2.46884,0.99441,11.7,0.01891
95,,11/20/2019 15:30,-1.83242,0.99037,11.7,0.005
95,,12/19/2019 13:09,-0.93322,0.97482,5.7,0
95,,12/19/2019 13:10,-1.16526,0.99252,5.7,0
94,,6/7/2019 11:04,-9999,-9999,21.9,-0.08205
94,,6/7/2019 11:06,-9999,-9999,21.9,0.361
94,,11/4/2019 15:01,-0.06904,0.42334,15.5,0
94,,11/4/2019 15:02,-0.11162,0.64069,15.7,0.228
94,,11/20/2019 14:43,0.00116,0.00017,13.7,0.046
94,,11/20/2019 14:44,-0.10254,0.59061,13.5,0.047
94,,12/19/2019 12:29,-0.07592,0.34431,7.4,0
94,,12/19/2019 12:30,-0.12944,0.54767,7.5,0
93,,6/7/2019 10:37,-9999,-9999,22.1,0.192
93,,6/7/2019 10:39,-9999,-9999,22.1,0.19
93,,11/4/2019 14:35,0.11885,0.44529,17.9,0
93,,11/4/2019 14:36,0.16337,0.77616,17.7,0.229
93,,11/20/2019 14:19,0.15887,0.656,15.15455,-0.01841
93,,11/20/2019 14:21,-0.12177,0.02293,15.2,0.093
93,,12/19/2019 12:08,-0.00358,0.00148,5.6,0
93,,12/19/2019 12:10,0.01804,0.06916,5.5,0
92,,6/12/2019 12:09,-9999,-9999,19.9,0.536
92,,6/12/2019 12:11,-9999,-9999,19.9,0.536
92,,11/6/2019 10:55,-0.25449,0.84775,12,0.082
92,,11/6/2019 10:56,-0.26054,0.811,12,0.079
92,,11/18/2019 11:06,-0.32481,0.83584,10.1,0.005
92,,11/18/2019 11:08,-0.25645,0.80401,9.85455,0.00064
92,,12/20/2019 13:09,-0.81675,0.97292,2.9,0
92,,12/20/2019 13:11,-0.62938,0.98817,2.9,0
91,,6/12/2019 12:36,-9999,-9999,20.7,0.001
91,,6/12/2019 12:37,-9999,-9999,20.9,0.527
91,,11/6/2019 10:42,1.48008,0.96871,12.1,0.099
91,,11/6/2019 10:43,1.01762,0.98318,12.1,0.106
91,,11/18/2019 10:58,0.9905,0.98278,10.2,0.022
91,,11/18/2019 10:59,1.07295,0.98833,10.1,0.022
91,,12/20/2019 12:49,0.70283,0.96894,4,0
91,,12/20/2019 12:51,0.80315,0.97849,3.8,0
90,,6/12/2019 12:50,-9999,-9999,20.9,0.41709
90,,6/12/2019 12:52,-9999,-9999,20.9,0.585
90,,11/6/2019 10:05,0.07575,0.24303,12.1,0.582
90,,11/6/2019 10:07,0.08577,0.38968,11.9,0.525
90,,11/18/2019 10:33,0.09906,0.42408,11.02727,0.03255
90,,11/18/2019 10:34,0.0431,0.11673,10.7,0.028
90,,12/20/2019 12:37,0.17406,0.73236,7.3,0
90,,12/20/2019 12:38,0.25911,0.82631,7,0
89,,6/12/2019 11:16,-9999,-9999,19.7,0.666
89,,6/12/2019 11:18,-9999,-9999,19.5,0.66
89,,11/18/2019 11:40,1.96252,0.98924,10.4,0.022
89,,11/18/2019 11:41,1.68138,0.9942,10.4,0.025
89,,12/20/2019 14:01,0.24958,0.87312,2.4,0
89,,12/20/2019 14:03,0.33885,0.9413,2.5,0
88,,6/14/2019 15:04,-9999,-9999,19.9,0.064
88,,6/14/2019 15:06,-9999,-9999,20.1,0.061
88,,11/6/2019 14:47,-1.44802,0.95924,13,0.031
88,,11/6/2019 14:48,-1.34447,0.97408,13,0.032
88,,11/21/2019 13:07,-0.86067,0.97512,11.1,0.003
88,,11/21/2019 13:09,-1.26506,0.97949,11.1,0.003
88,,12/20/2019 9:52,-0.51581,0.94092,4.5,0
88,,12/20/2019 9:54,-0.65751,0.977,3.7,0.008
87,,6/14/2019 13:40,-9999,-9999,19.7,0.448
87,,6/14/2019 13:42,-9999,-9999,19.5,0.45
87,,9/19/2019 13:25,-9999,-9999,21.3,0.119
87,,9/19/2019 13:27,-9999,-9999,21.1,0.119
87,,11/6/2019 15:28,-2.0047,0.98663,12.6,0.026
87,,11/6/2019 15:30,-1.73942,0.99238,12.6,0.032
87,,11/21/2019 13:54,-1.39748,0.98659,11.1,0.006
87,,11/21/2019 13:55,-1.25384,0.98938,11.1,0.006
87,,12/20/2019 10:28,-0.6245,0.96662,0.5,0
87,,12/20/2019 10:29,-0.77435,0.97478,0.5,0
86,,6/14/2019 15:00,-9999,-9999,19.9,0.454
86,,6/14/2019 15:02,-9999,-9999,19.9,0.454
86,,9/19/2019 14:15,-9999,-9999,21.5,0.105
86,,9/19/2019 14:16,-9999,-9999,21.5,0.105
86,,11/6/2019 14:54,-1.76822,0.97607,13,0
86,,11/6/2019 14:56,0,0,13,0.032
86,,11/21/2019 13:15,-1.17526,0.9836,11,0
86,,11/21/2019 13:16,-1.06196,0.97679,11.1,0.004
86,,12/20/2019 10:10,-0.46027,0.95062,0.9,0.004
86,,12/20/2019 10:12,-0.52139,0.97478,0.7,0
85,,6/14/2019 14:03,-9999,-9999,19.7,0
85,,6/14/2019 14:05,-9999,-9999,19.5,0.442
85,,9/19/2019 13:12,-9999,-9999,20.67273,-0.00709
85,,9/19/2019 13:14,-9999,-9999,20.9,0.047
85,,11/6/2019 15:14,-2.41535,0.99337,12.8,0.006
85,,11/6/2019 15:15,-2.02675,0.99649,12.8,0.006
85,,11/21/2019 13:34,-1.70899,0.99476,11,0
85,,11/21/2019 13:36,-1.72017,0.99485,11,0
85,,12/20/2019 10:45,-0.8486,0.98943,0.58636,0
85,,12/20/2019 10:47,-0.91926,0.98376,0.8,0
84,,6/14/2019 10:09,-9999,-9999,18,0.408
84,,6/14/2019 10:11,-9999,-9999,18,0.41
84,,9/18/2019 12:04,-9999,-9999,22.8,0.121
84,,9/18/2019 12:06,-9999,-9999,23,0.121
84,,11/6/2019 13:45,-2.10021,0.99372,13,0.049
84,,11/6/2019 13:46,-1.9766,0.99189,13,0.05164
84,,11/21/2019 12:08,-2.30389,0.97628,11.94545,0.006
84,,11/21/2019 12:10,-2.06144,0.99077,11.7,0.012
83,,6/14/2019 11:31,-9999,-9999,17.7,0.065
83,,6/14/2019 11:32,-9999,-9999,17.7,0.531
83,,9/18/2019 12:19,-9999,-9999,22.1,0
83,,9/18/2019 12:21,-9999,-9999,22.1,0
83,,11/6/2019 14:09,-2.83254,0.9823,13.1,0.027
83,,11/6/2019 14:10,-2.13606,0.98709,13.3,0.02673
83,,11/21/2019 12:32,-1.70424,0.96963,10.8,0
