plot,collar,Rep1,Rep2,Rep3,Rep4
W,2,7.5,11,10,9
W,3,8,8,8.5,10.5
W,4,8.5,9.5,9,9
W,17,9,8,9.5,9
W,18,8,7,7,8.5
W,19,9,9,7.5,7
W,20,12,10,11,11
W,29,9.5,8.5,9,8.5
W,30,7,7,6.5,7
W,31,8,8.5,8.5,8.5
W,32,6.5,5,4,5.5
W,49,8,9,8.5,7
W,50,7,7,5.5,5.5
W,51,7,10,8.5,6.5
W,52,7.5,8.5,6,8.5
W,61,9.5,8,9,9.5
W,62,6,6,9,5.5
W,64,9,8,8.5,9
W,70,7,9,9,8.5
W,71,7.5,8,8,7
W,72,8,7.5,6.5,7.5
W,639,9,8,9.5,8
W,693,9.5,9,9,8.5
M,37,8.5,9,8.5,10
M,38,9.5,9,9,9.5
M,39,8.5,9,8,8.5
M,40,9,8,8,9
M,45,10.5,9,8.5,8.5
M,46,9.5,8.5,9.5,9
M,47,10,12,9,9
M,48,9,10.5,9.5,7.5
M,65,9.5,8,10.5,11.5
M,66,8,8,8,9
M,67,7,9,8.5,8.5
M,68,7.5,8,8,9.5
M,81,8,8.5,9,9.5
M,82,8.5,7.5,8.5,8.5
M,83,6.5,8,8,9.5
M,84,8.5,10,7.5,8.5
U,53,9.5,8.5,9.5,9.5
U,54,8,8.5,8.5,8
U,55,8,7,6.5,8.5
U,56,10.5,8.5,9.5,9
U,57,9,9.5,8.5,9
U,58,8.5,9.5,9,9.5
U,59,9,6.5,8.5,8.5
U,60,8.5,9,9,8.5
U,41,9.5,10.5,10.5,9
U,42,10,10,11,11
U,43,8,6.5,8.5,8
U,44,9,8,8,8.5
U,85,8.5,8,8,8.5
U,86,11,10.5,9.5,10
U,87,8.5,8.5,8,9
U,88,9,8.5,10.5,9
